SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AZwr_S218399,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11024000000,,Unspecified,AZ,,Bad Latitude,218398.0
AZwr_S218404,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A04017000000,,Unspecified,AZ,,Bad Latitude,218403.0
AZwr_S218429,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A010402000,,Unspecified,AZ,,Bad Latitude,218428.0
AZwr_S218434,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A010503000,,Unspecified,AZ,,Bad Latitude,218433.0
AZwr_S218440,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B30018000000,,Unspecified,AZ,,Bad Latitude,218439.0
AZwr_S218444,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11018000000,,Unspecified,AZ,,Bad Latitude,218443.0
AZwr_S218804,,AZwr_WS269,Unspecified,Unspecified,COCHISE,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D190210,,Unspecified,AZ,,Bad Latitude,218803.0
AZwr_S218805,,AZwr_WS269,Unspecified,Unspecified,COCHISE,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D200210,,Unspecified,AZ,,Bad Latitude,218804.0
AZwr_S218817,,AZwr_WS273,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D18013000000,,Unspecified,AZ,,Bad Latitude,218816.0
AZwr_S219404,,AZwr_WS466,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11512031DB0,,Unspecified,AZ,,Bad Latitude,219403.0
AZwr_S219793,,AZwr_WS637,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A100120100C0,,Unspecified,AZ,,Bad Latitude,219792.0
AZwr_S220019,,AZwr_WS735,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A12504003AA0,,Unspecified,AZ,,Bad Latitude,220018.0
AZwr_S220035,,AZwr_WS746,Unspecified,Unspecified,YUMA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B05011000000,,Unspecified,AZ,,Bad Latitude,220034.0
AZwr_S220176,,AZwr_WS815,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,C03006000000,,Unspecified,AZ,,Bad Latitude,220175.0
AZwr_S220571,,AZwr_WS956,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D21018000000,,Unspecified,AZ,,Bad Latitude,220570.0
AZwr_S220572,,AZwr_WS956,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D21019000000,,Unspecified,AZ,,Bad Latitude,220571.0
AZwr_S220686,,AZwr_WS1001,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A39006000000,,Unspecified,AZ,,Bad Latitude,220685.0
AZwr_S221190,,AZwr_WS1278,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D24019023A00,,Unspecified,AZ,,Bad Latitude,221189.0
AZwr_S221276,,AZwr_WS1329,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A10512022CC0,,Unspecified,AZ,,Bad Latitude,221275.0
AZwr_S221343,,AZwr_WS1351,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A09029000000,,Unspecified,AZ,,Bad Latitude,221342.0
AZwr_S221725,,AZwr_WS1541,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11512016000,,Unspecified,AZ,,Bad Latitude,221724.0
AZwr_S221726,,AZwr_WS1541,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11512008000,,Unspecified,AZ,,Bad Latitude,221725.0
AZwr_S221729,,AZwr_WS1541,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11512006000,,Unspecified,AZ,,Bad Latitude,221728.0
AZwr_S221885,,AZwr_WS1604,Unspecified,Unspecified,COCHISE,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D24019019BB0,,Unspecified,AZ,,Bad Latitude,221884.0
AZwr_S221951,,AZwr_WS1641,Unspecified,Unspecified,MOHAVE,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B16013000000,,Unspecified,AZ,,Bad Latitude,221950.0
AZwr_S221959,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B170130260AB,,Unspecified,AZ,,Bad Latitude,221958.0
AZwr_S221981,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B17013010D0A,,Unspecified,AZ,,Bad Latitude,221980.0
AZwr_S221991,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B170130260DD,,Unspecified,AZ,,Bad Latitude,221990.0
AZwr_S222000,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B17013010A0B,,Unspecified,AZ,,Bad Latitude,221999.0
AZwr_S222002,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B170130100DA,,Unspecified,AZ,,Bad Latitude,222001.0
AZwr_S222003,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,16013003ACC,,Unspecified,AZ,,Bad Latitude,222002.0
AZwr_S222004,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A16513027CDB,,Unspecified,AZ,,Bad Latitude,222003.0
AZwr_S222005,,AZwr_WS1644,Unspecified,Unspecified,MOHAVE,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B17013014B0A,,Unspecified,AZ,,Bad Latitude,222004.0
AZwr_S222012,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B160130030AB,,Unspecified,AZ,,Bad Latitude,222011.0
