SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NE_1528,,Unspecified,Adams,EPSG:4326,,,102702060307,,40.451697164060995,-98.5472446986701,,,Unspecified,177489,,Unknown,NE,
NE_1529,,Unspecified,Nuckolls,EPSG:4326,,,102702060801,,40.309668886141,-97.8861791017722,,,Unspecified,178755,,Unknown,NE,
NE_1530,,Unspecified,Gage,EPSG:4326,,,102702020503,,40.1198772522326,-96.8554643028923,,,Unspecified,176924,,Unknown,NE,
NE_1531,,Unspecified,Johnson,EPSG:4326,,,102400060401,,40.379125710465004,-96.12292520587792,,,Unspecified,192339,,Unknown,NE,
NE_1532,,Unspecified,Knox,EPSG:4326,,,101701010504,,42.5467087872298,-97.798414869335,,,Unspecified,183274,,Unknown,NE,
NE_1533,,Unspecified,Seward,EPSG:4326,,,102002030402,,40.99878757912,-96.98989324374392,,,Unspecified,191917,,Unknown,NE,
NE_1534,,Unspecified,Saunders,EPSG:4326,,,102002030704,,41.1981203889039,-96.63992276217421,,,Unspecified,181840,,Unknown,NE,
NE_1535,,Unspecified,Howard,EPSG:4326,,,102100090104,,41.3681225222886,-98.39374322229429,,,Unspecified,182168,,Unknown,NE,
NE_1536,,Unspecified,Saunders,EPSG:4326,,,102002030701,,41.270369571661504,-96.7369789669492,,,Unspecified,191918,,Unknown,NE,
NE_1537,,Unspecified,Phelps,EPSG:4326,,,102500090901,,40.445701801693396,-99.5216467433932,,,Unspecified,185112,,Unknown,NE,
NE_1538,,Unspecified,Clay,EPSG:4326,,,102702030201,,40.6049772408932,-98.17452464126508,,,Unspecified,179416,,Unknown,NE,
NE_1539,,Unspecified,Butler,EPSG:4326,,,102001030507,,41.3778446776809,-97.2490273534573,,,Unspecified,182216,,Unknown,NE,
NE_1540,,Unspecified,Jefferson,EPSG:4326,,,102702020301,,40.217789489198,-97.09097843034321,,,Unspecified,178340,,Unknown,NE,
NE_1541,,Unspecified,Jefferson,EPSG:4326,,,102702020301,,40.245016984317104,-97.15316347777491,,,Unspecified,177095,,Unknown,NE,
NE_1542,,Unspecified,Jefferson,EPSG:4326,,,102702020301,,40.2693781699045,-97.1460373220821,,,Unspecified,178527,,Unknown,NE,
NE_1543,,Unspecified,Clay,EPSG:4326,,,102702030305,,40.664646552175896,-97.9503252235349,,,Unspecified,179736,,Unknown,NE,
NE_1544,,Unspecified,Lancaster,EPSG:4326,,,102002030302,,40.773310366598395,-96.75353158755509,,,Unspecified,191919,,Unknown,NE,
NE_1545,,Unspecified,Lancaster,EPSG:4326,,,102002030302,,40.7730359433468,-96.7551944359954,,,Unspecified,191920,,Unknown,NE,
NE_1546,,Unspecified,Lancaster,EPSG:4326,,,102002030302,,40.7707942962695,-96.7545040100707,,,Unspecified,191921,,Unknown,NE,
NE_1547,,Unspecified,Brown,EPSG:4326,,,101500041404,,42.733141332985895,-99.7552446288725,,,Unspecified,191027,,Unknown,NE,
NE_1548,,Unspecified,Brown,EPSG:4326,,,101500041404,,42.732004632484,-99.74978702413641,,,Unspecified,191028,,Unknown,NE,
NE_1549,,Unspecified,Rock,EPSG:4326,,,101500041505,,42.6924211713252,-99.2902153661876,,,Unspecified,191030,,Unknown,NE,
NE_1550,,Unspecified,Douglas,EPSG:4326,,,102300060205,,41.272975954606,-96.10416595498371,,,Unspecified,186467,,Unknown,NE,
NE_1551,,Unspecified,Hall,EPSG:4326,,,102702030401,,40.818495053428705,-98.28490937642592,,,Unspecified,184200,,Unknown,NE,
NE_1552,,Unspecified,Fillmore,EPSG:4326,,,102702060703,,40.3736925614069,-97.6529931045525,,,Unspecified,177357,,Unknown,NE,
NE_1553,,Unspecified,Fillmore,EPSG:4326,,,102702030205,,40.650015825640104,-97.8127876521274,,,Unspecified,179685,,Unknown,NE,
NE_1554,,Unspecified,Dodge,EPSG:4326,,,102200030604,,41.5569983308365,-96.6726371787196,,,Unspecified,186038,,Unknown,NE,
NE_1555,,Unspecified,Adams,EPSG:4326,,,102702060405,,40.3862711662472,-98.4472645436002,,,Unspecified,190073,,Unknown,NE,
NE_1556,,Unspecified,Box Butte,EPSG:4326,,,101500020604,,42.4275749613116,-103.43697577952801,,,Unspecified,190707,,Unknown,NE,
NE_1557,,Unspecified,Saline,EPSG:4326,,,102702030609,,40.6704413970083,-97.07983071168259,,,Unspecified,179857,,Unknown,NE,
NE_1558,,Unspecified,Saline,EPSG:4326,,,102702040309,,40.3642741908022,-96.9969762413723,,,Unspecified,178611,,Unknown,NE,
