,SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
19431,,39764.0,,,,,,,,,,,,,,,,,,,,,
19435,,33865.0,,,,,,,,,,,,,,,,,,,,,
19526,,28392.0,,,,,,,,,,,,,,,,,,,,,
19527,,45971.0,,,,,,,,,,,,,,,,,,,,,
19536,,39910.0,,,,,,,,,,,,,,,,,,,,,
19582,,5440.0,,,,,,,,,,,,,,,,,,,,,
19604,,27772.0,,,,,,,,,,,,,,,,,,,,,
19633,,45976.0,,,,,,,,,,,,,,,,,,,,,
19636,,45780.0,,,,,,,,,,,,,,,,,,,,,
19712,,11453.0,,,,,,,,,,,,,,,,,,,,,
19713,,22777.0,,,,,,,,,,,,,,,,,,,,,
19714,,5718.0,,,,,,,,,,,,,,,,,,,,,
19717,,40083.0,,,,,,,,,,,,,,,,,,,,,
19720,,16959.0,,,,,,,,,,,,,,,,,,,,,
19721,,28340.0,,,,,,,,,,,,,,,,,,,,,
19722,,16956.0,,,,,,,,,,,,,,,,,,,,,
19723,,16957.0,,,,,,,,,,,,,,,,,,,,,
19724,,16958.0,,,,,,,,,,,,,,,,,,,,,
19726,,34177.0,,,,,,,,,,,,,,,,,,,,,
19733,,27770.0,,,,,,,,,,,,,,,,,,,,,
19742,,45865.0,,,,,,,,,,,,,,,,,,,,,
19883,,5113.0,,,,,,,,,,,,,,,,,,,,,
19884,,5114.0,,,,,,,,,,,,,,,,,,,,,
19885,,22224.0,,,,,,,,,,,,,,,,,,,,,
19886,,16513.0,,,,,,,,,,,,,,,,,,,,,
19887,,10959.0,,,,,,,,,,,,,,,,,,,,,
19888,,5117.0,,,,,,,,,,,,,,,,,,,,,
19890,,28156.0,,,,,,,,,,,,,,,,,,,,,
19901,,22408.0,,,,,,,,,,,,,,,,,,,,,
19936,,22473.0,,,,,,,,,,,,,,,,,,,,,
19999,,,,,,,,,,,,,,,,,,,,,,,
20069,,28157.0,,,,,,,,,,,,,,,,,,,,,
20073,,,,,,,,,,,,,,,,,,,,,,,
20075,,,,,,,,,,,,,,,,,,,,,,,
20088,,,,,,,,,,,,,,,,,,,,,,,
20114,,10924.0,,,,,,,,,,,,,,,,,,,,,
20399,,27129.0,,,,,,,,,,,,,,,,,,,,,
20619,,45356.0,,,,,,,,,,,,,,,,,,,,,
20688,,33886.0,,,,,,,,,,,,,,,,,,,,,
20733,,11445.0,,,,,,,,,,,,,,,,,,,,,
20788,,39805.0,,,,,,,,,,,,,,,,,,,,,
21356,,,,,,,,,,,,,,,,,,,,,,,
21370,,,,,,,,,,,,,,,,,,,,,,,
21687,,,,,,,,,,,,,,,,,,,,,,,
21817,,,,,,,,,,,,,,,,,,,,,,,
21851,,,,,,,,,,,,,,,,,,,,,,,
22351,,19260.0,,,,,,,,,,,,,,,,,,,,,
22747,,30232.0,,,,,,,,,,,,,,,,,,,,,
22864,,,,,,,,,,,,,,,,,,,,,,,
22865,,,,,,,,,,,,,,,,,,,,,,,
22888,,7477.0,,,,,,,,,,,,,,,,,,,,,
22889,,15195.0,,,,,,,,,,,,,,,,,,,,,
22890,,30275.0,,,,,,,,,,,,,,,,,,,,,
22914,,30277.0,,,,,,,,,,,,,,,,,,,,,
22915,,38240.0,,,,,,,,,,,,,,,,,,,,,
22925,,26528.0,,,,,,,,,,,,,,,,,,,,,
22932,,15223.0,,,,,,,,,,,,,,,,,,,,,
22933,,15224.0,,,,,,,,,,,,,,,,,,,,,
22935,,3767.0,,,,,,,,,,,,,,,,,,,,,
22938,,11431.0,,,,,,,,,,,,,,,,,,,,,
22950,,44084.0,,,,,,,,,,,,,,,,,,,,,
22951,,38242.0,,,,,,,,,,,,,,,,,,,,,
22955,,9526.0,,,,,,,,,,,,,,,,,,,,,
22956,,13250.0,,,,,,,,,,,,,,,,,,,,,
22958,,44085.0,,,,,,,,,,,,,,,,,,,,,
22959,,18777.0,,,,,,,,,,,,,,,,,,,,,
22961,,18778.0,,,,,,,,,,,,,,,,,,,,,
22962,,26531.0,,,,,,,,,,,,,,,,,,,,,
22963,,9528.0,,,,,,,,,,,,,,,,,,,,,
22964,,41927.0,,,,,,,,,,,,,,,,,,,,,
22965,,26532.0,,,,,,,,,,,,,,,,,,,,,
22966,,7484.0,,,,,,,,,,,,,,,,,,,,,
22970,,26533.0,,,,,,,,,,,,,,,,,,,,,
22972,,44086.0,,,,,,,,,,,,,,,,,,,,,
22975,,15226.0,,,,,,,,,,,,,,,,,,,,,
22985,,7487.0,,,,,,,,,,,,,,,,,,,,,
23010,,15229.0,,,,,,,,,,,,,,,,,,,,,
23011,,7489.0,,,,,,,,,,,,,,,,,,,,,
23012,,38244.0,,,,,,,,,,,,,,,,,,,,,
23017,,9532.0,,,,,,,,,,,,,,,,,,,,,
23030,,18783.0,,,,,,,,,,,,,,,,,,,,,
23039,,24440.0,,,,,,,,,,,,,,,,,,,,,
23040,,20889.0,,,,,,,,,,,,,,,,,,,,,
23041,,18785.0,,,,,,,,,,,,,,,,,,,,,
23043,,3777.0,,,,,,,,,,,,,,,,,,,,,
23044,,13251.0,,,,,,,,,,,,,,,,,,,,,
23045,,38246.0,,,,,,,,,,,,,,,,,,,,,
23046,,36201.0,,,,,,,,,,,,,,,,,,,,,
23048,,9534.0,,,,,,,,,,,,,,,,,,,,,
23072,,3778.0,,,,,,,,,,,,,,,,,,,,,
23073,,15232.0,,,,,,,,,,,,,,,,,,,,,
23074,,24442.0,,,,,,,,,,,,,,,,,,,,,
23075,,26538.0,,,,,,,,,,,,,,,,,,,,,
23093,,13252.0,,,,,,,,,,,,,,,,,,,,,
23099,,44092.0,,,,,,,,,,,,,,,,,,,,,
23100,,7520.0,,,,,,,,,,,,,,,,,,,,,
23104,,7521.0,,,,,,,,,,,,,,,,,,,,,
23125,,32468.0,,,,,,,,,,,,,,,,,,,,,
23127,,32469.0,,,,,,,,,,,,,,,,,,,,,
23129,,30327.0,,,,,,,,,,,,,,,,,,,,,
