Year,Basin,Population,Irrig ation Reuse,Irrigation,Irrigation Ground Water,Irrigation Surface Water,Livestock,Livestock Ground Water,Livestock Reuse,Livestock Surface Water,Manu-facturing,Mfg Ground Water,Mfg Reuse,Mfg Surface Water,Mining,Mining Ground Water,Mining Reuse,Mining Surface Water,Municipal,Municipal Ground  Water,Municipal Reuse,Municipal Surface Water,Power Ground Water,Power Reuse,Power Surface Water,Steam Electric (Power)
2010,CYPRESS,150872,,685,546,139,11826,3117,,8709,28177,207,,27971,1852,544,,1308,19701,9197,,10503,685,,57819,58504
2010,GUADALUPE,485916,,9844,7881,1963,19855,11219,,8636,15985,6310,,9675,9908,6167,,3741,84267,38697,,45568,2085,,30648,32733
2010,LAVACA,49371,,172111,103649,68462,4608,2953,,1655,1519,1453,,66,921,369,,552,6388,6388,,0,0,,0,0
2010,LAVACA-GUADALUPE,50250,,21257,11246,10011,927,586,,341,15444,8,,15436,61,50,,11,2893,652,,2241,0,,0,0
2010,NECHES,662047,,19547,2963,16584,23321,3310,,20011,111856,40988,,70868,3013,1896,,1117,111974,67709,,44265,121,,91,213
2010,NECHES-TRINITY,213714,,143971,199,143772,1309,332,,977,48550,80,,48470,179,77,,102,41681,9919,,31762,0,,0,0
2010,NUECES,223329,,241507,225329,16178,12281,8601,,3680,9656,1774,,7882,9204,5922,,3282,36163,31878,,4286,7247,,0,7247
2010,NUECES-RIO GRANDE,1593625,,679230,5598,673632,6011,4019,,1992,38898,4722,,34175,5078,2774,,2304,222607,26786,,195818,0,,389,389
2010,RED,585296,,892921,829467,63454,41064,27880,,13184,14333,11368,,2967,5374,3170,,2204,102580,52591,,49992,319,,5383,5702
2010,RIO GRANDE,1333779,,660981,283264,377717,8000,6714,,1286,8126,6825,,1301,9734,5921,,3813,224656,110165,,114491,5114,,222,5336
2010,SABINE,556720,,2823,2045,778,22769,3716,,19053,67236,4831,,62406,7558,4204,,3354,94556,44096,,50462,1662,,37484,39146
2010,SAN ANTONIO,1890847,,29916,25236,4680,6691,3605,,3086,5854,5243,,612,17150,12421,,4729,280556,253498,,27057,1146,,27683,28829
2010,SAN ANTONIO-NUECES,118658,,11498,11498,0,2263,1781,,482,5796,2,,5794,859,423,,436,20097,7065,,13033,0,,0,0
2010,SAN JACINTO,4419464,,20677,16976,3701,3976,1915,,2061,144467,69343,,75123,3777,1198,,2579,684611,320890,,363721,1761,,11573,13335
2010,SAN JACINTO-BRAZOS,1097474,,71022,9742,61280,1469,1035,,434,104782,16709,,88072,2055,439,,1615,156513,72600,,83914,4,,318,322
2010,SULPHUR,180973,,19861,9287,10574,13736,3690,,10046,39577,257,,39320,1142,722,,420,31002,7757,,23243,0,,0,0
2010,TRINITY,6641981,,49415,9196,40219,25002,3584,,21418,46071,4649,,41421,38940,17815,,21126,1248884,101130,,1147755,137,,17866,18003
2010,TRINITY-SAN JACINTO,102422,,5436,96,5340,336,123,,213,86918,5628,,81290,223,62,,161,14194,3512,,10682,120,,487,607
2010,STATE TOTAL,25145561,,7603253,5705232,1898021,345381,159279,,186102,1045166,234984,,810183,221863,136209,,85653,4212076,1513107,,2698968,53011,,415543,468553
2011,BRAZOS,2653541,,2439875,2363161,76714,89898,42020,,47879,128972,8280,,120690,37215,21227,,15988,528243,268315,,259928,36625,,161656,198284
2011,BRAZOS-COLORADO,86124,,377007,91600,285407,2051,1319,,732,33917,2119,,31798,293,108,,185,15728,14991,,738,0,,0,0
2011,CANADIAN,180263,,2170190,2169874,316,27034,21063,,5971,26875,26484,,391,2738,1857,,881,44749,41340,,3409,1736,,0,1736
2011,COLORADO,1943581,,1374731,1276343,98388,24486,12851,,11635,20415,6129,,14288,51359,36832,,14526,384291,110427,,273863,1134,,71421,72555
2011,COLORADO-LAVACA,25017,,163708,68469,95239,1079,723,,356,26148,1537,,24611,31,23,,8,5004,4917,,86,0,,0,0
2011,CYPRESS,152388,,951,579,372,11753,3090,,8663,4245,158,,4088,1638,324,,1314,21223,10210,,11012,78,,49704,49781
2011,GUADALUPE,498367,,15528,13129,2399,19477,11225,,8252,18789,7854,,10936,7923,6332,,1591,92531,53561,,38974,2053,,16137,18191
2011,LAVACA,49835,,275654,168383,107271,4608,2963,,1645,1655,1655,,0,713,492,,221,8136,8136,,0,0,,0,0
2011,LAVACA-GUADALUPE,50671,,42753,26580,16173,927,586,,341,18809,0,,18809,43,36,,7,8492,2627,,5867,0,,0,0
2011,NECHES,669577,,23570,3342,20228,23035,3294,,19740,106489,38362,,68127,5016,3356,,1660,123785,76348,,47435,181,,968,1150
2011,NECHES-TRINITY,214285,,221420,960,220460,1350,339,,1011,47669,141,,47527,220,85,,134,54028,12190,,41838,0,,0,0
2011,NUECES,238074,,395561,356227,39334,12521,8819,,3702,9952,1554,,8397,20740,15822,,4918,42283,35326,,6955,8078,,0,8078
2011,NUECES-RIO GRANDE,1624604,,1272243,6044,1266199,6156,4097,,2059,39075,4018,,35057,4094,2470,,1624,284486,33060,,251424,0,,607,607
2011,RED,592968,,1210202,1115082,95120,46132,31818,,14314,12696,10239,,2457,8424,4887,,3537,120293,66343,,53949,0,,6202,6202
2011,RIO GRANDE,1372536,,798250,332181,466069,8240,6890,,1350,7576,5767,,1706,13191,8603,,4588,236323,130874,,105451,2734,,240,2974
2011,SABINE,567029,,4634,1602,3032,22638,3702,,18936,74145,5837,,68308,6570,3391,,3179,106925,45762,,61162,2313,,54061,56374
2011,SAN ANTONIO,1928254,,44808,37170,7638,6798,3666,,3132,6225,5437,,787,12089,10192,,1897,320095,291244,,28850,1148,,51145,52293
2011,SAN ANTONIO-NUECES,119497,,18595,18410,185,2292,1800,,492,5409,3,,5406,928,466,,462,22389,7689,,14699,0,,0,0
2011,SAN JACINTO,4542513,,33594,24433,9161,4036,1944,,2092,138535,34093,,104440,3553,1051,,2502,924391,422872,,501518,2804,,12177,14980
2011,SAN JACINTO-BRAZOS,1104427,,107622,3410,104212,1464,1031,,433,112252,3781,,108470,909,323,,586,195174,91830,,103344,13,,226,239
2011,SULPHUR,180691,,14714,4390,10324,13825,3702,,10123,34922,155,,34766,841,576,,265,33566,6757,,26809,0,,0,0
2011,TRINITY,6782255,,68800,18205,50595,25301,3620,,21681,46472,5576,,40894,41612,18428,,23184,1400338,133929,,1266411,156,,33730,33886
2011,TRINITY-SAN JACINTO,97578,,8167,345,7822,337,124,,213,87652,3776,,83876,184,50,,134,15624,3641,,11983,16,,480,496
2011,STATE TOTAL,25674075,,11082577,8099919,2982658,355438,170686,,184752,1008894,172955,,835829,220324,136931,,83391,4988097,1872389,,3115705,59069,,458754,517826
2012,BRAZOS,2694333,,2391602,2334253,57349,76656,39072,,37585,140845,7790,,133053,7198,3883,,3314,489499,243481,,246014,22218,,193759,215976
2012,BRAZOS-COLORADO,87152,,120121,63744,56377,1732,1109,,623,26285,1409,,24876,7,6,,1,14758,14030,,728,0,,0,0
2012,CANADIAN,181919,,2056252,2055658,594,36001,28537,,7464,26509,26467,,42,1596,1439,,157,41062,37749,,3314,955,,0,955
2012,COLORADO,1983001,,1268342,1228456,39886,19061,9876,,9185,19844,5982,,13861,38023,36046,,1977,331029,91416,,239612,991,,107711,108702
2012,COLORADO-LAVACA,25182,,53044,43685,9359,849,570,,279,28006,1624,,26382,0,0,,0,4324,4234,,90,0,,0,0
2012,CYPRESS,153650,,681,364,317,11025,2991,,8034,4395,195,,4200,1462,384,,1078,18793,9285,,9510,86,,54071,54157
2012,GUADALUPE,507658,,12188,8789,3399,16441,9347,,7094,16736,6345,,10391,8254,7418,,836,85937,46674,,39260,1517,,16721,18238
2012,LAVACA,50335,,159041,120026,39015,3603,2306,,1297,1823,1823,,0,483,446,,37,7110,7110,,0,0,,0,0
2012,LAVACA-GUADALUPE,51416,,34990,15967,19023,736,467,,269,16583,5,,16578,3,3,,0,7185,1319,,5867,0,,0,0
2012,NECHES,675160,,13411,2852,10559,25130,2939,,22191,112582,41402,,71180,2140,1590,,550,119754,77116,,42636,170,,981,1151
2012,NECHES-TRINITY,215317,,150615,368,150247,944,246,,698,45081,110,,44970,15,15,,0,49104,10130,,38973,0,,0,0
2012,NUECES,241358,,296536,278628,17908,9314,6465,,2849,9945,1900,,8044,29633,27621,,2012,40562,34117,,6445,8491,,0,8491
2012,NUECES-RIO GRANDE,1644091,,916031,6305,909726,4713,3349,,1364,41818,3427,,38392,1332,1317,,15,265561,36847,,228713,0,,581,581
2012,RED,597794,,1146462,1127162,19300,43649,30849,,12800,11388,9272,,2117,4180,3005,,1175,105918,65036,,40883,0,,6389,6389
2012,RIO GRANDE,1391522,,617123,395994,221129,6847,5771,,1076,8273,6963,,1238,10277,9889,,388,233131,141299,,91831,4532,,214,4746
2012,SABINE,571919,,3537,1137,2400,20891,3382,,17509,66547,6460,,60086,4116,2209,,1908,95918,43531,,52386,3686,,57236,60921
2012,SAN ANTONIO,1960655,,35672,31983,3689,3488,1971,,1517,6130,5346,,785,13995,13605,,390,296229,271910,,24318,1050,,38809,39858
2012,SAN ANTONIO-NUECES,120403,,15722,15502,220,1643,1290,,353,5712,1,,5712,57,53,,4,21944,7142,,14803,0,,0,0
2012,SAN JACINTO,4621498,,23896,19333,4563,2749,1350,,1399,147342,33176,,114166,23096,1700,,21396,760251,360196,,400056,2090,,12080,14169
2012,SAN JACINTO-BRAZOS,1124394,,90649,2228,88421,1203,862,,341,117702,3586,,114115,155,155,,0,171701,66859,,104841,20,,174,193
2012,SULPHUR,181896,,17071,10197,6874,12488,3551,,8937,34877,274,,34603,51,1,,50,32404,6383,,26022,0,,0,0
2012,TRINITY,6879333,,60603,22444,38159,17860,2834,,15026,41536,5399,,36138,16178,4092,,12086,1329678,117825,,1211852,127,,22792,22918
2012,TRINITY-SAN JACINTO,99217,,6419,321,6098,266,100,,166,84101,3598,,80503,0,0,,0,13788,3364,,10424,16,,174,190
2012,STATE TOTAL,26059203,,9490008,7785396,1704612,317289,159234,,158056,1014060,172554,,841432,162251,114877,,47374,4535640,1697053,,2838578,45949,,511692,557635
2013,BRAZOS,2725941,,2112135,2058865,53270,73769,37554,,36215,150839,9957,,140879,6338,3312,,3026,449833,219315,,230519,33694,,172787,206481
2013,BRAZOS-COLORADO,87037,,130751,69275,61476,1785,1146,,639,32204,1946,,30258,0,0,,0,13642,12901,,741,0,,0,0
2013,CANADIAN,184425,,1871468,1870876,592,33058,26163,,6895,25074,25030,,43,1392,1157,,235,38254,34936,,3318,1410,,0,1410
2013,COLORADO,2047969,,1200088,1154821,45267,16572,8464,,8109,20079,5776,,14300,37644,35612,,2031,317864,89063,,228801,2127,,77976,80105
2013,COLORADO-LAVACA,25354,,73918,59749,14169,837,562,,275,27286,1429,,25857,8,7,,1,4094,3970,,125,0,,0,0
2013,CYPRESS,152739,,758,489,269,11554,3174,,8380,3372,712,,2661,1061,197,,864,19336,8471,,10866,79,,46790,46869
2013,GUADALUPE,511821,,11914,8963,2951,16994,9468,,7526,14991,5425,,9564,12747,11460,,1287,80106,40773,,39333,1587,,1595,3182
2013,LAVACA,49649,,190627,149210,41417,3682,2415,,1267,1612,1612,,0,579,523,,56,6688,6688,,0,0,,0,0
2013,LAVACA-GUADALUPE,51803,,33026,18485,14541,844,531,,313,16035,2,,16033,4,4,,0,6652,883,,5770,0,,0,0
2013,NECHES,675206,,14462,2775,11687,24231,3034,,21197,111479,43137,,68340,2556,717,,1838,114334,73423,,40911,118,,190,308
2013,NECHES-TRINITY,215563,,180765,218,180547,1138,288,,850,46573,123,,46449,152,76,,76,46429,8907,,37522,0,,0,0
2013,NUECES,230967,,259280,257459,1821,8780,6055,,2725,10134,1800,,8334,31968,28862,,3106,38591,32665,,5926,8022,,0,8022
2013,NUECES-RIO GRANDE,1663641,,598995,4938,594057,4822,3358,,1464,39797,3920,,35877,1321,1306,,15,249012,35505,,213506,0,,547,547
2013,RED,595010,,1001618,979919,21699,38316,27015,,11301,11792,9563,,2227,3607,1880,,1727,94224,58954,,35270,0,,8007,8007
2013,RIO GRANDE,1384156,,527620,355915,171705,7151,5976,,1175,7404,6435,,916,9634,9165,,469,227740,157633,,70106,4235,,248,4483
2013,SABINE,568443,,5493,1457,4036,21549,3511,,18038,66160,5772,,60388,4746,2789,,1957,90714,41288,,49427,1065,,48214,49279
2013,SAN ANTONIO,2015579,,29440,26811,2629,3547,1983,,1564,6164,5294,,871,12701,12117,,584,289728,270778,,18950,1070,,35431,36501
2013,SAN ANTONIO-NUECES,121329,,10037,9816,221,1410,1103,,307,3742,3,,3739,14,12,,2,21873,6731,,15142,0,,0,0
2013,SAN JACINTO,4673245,,23510,18032,5478,3292,1560,,1732,156679,51056,,105622,8,7,,1,745933,328402,,417532,1593,,10149,11741
2013,SAN JACINTO-BRAZOS,1178642,,79328,3947,75381,1385,991,,394,123948,3861,,120087,148,148,,0,167832,56258,,111574,7,,159,166
2013,SULPHUR,183559,,10693,6796,3897,12767,3612,,9155,36790,250,,36541,0,0,,0,30941,5483,,25458,0,,0,0
2013,TRINITY,7003711,,60992,17374,43618,19629,3102,,16527,41527,5887,,35641,13543,2886,,10656,1239800,104280,,1135519,108,,21758,21866
2013,TRINITY-SAN JACINTO,102405,,8283,507,7776,321,118,,203,85350,3697,,81654,0,0,,0,12760,2769,,9992,20,,749,770
2013,STATE TOTAL,26448194,,8435201,7076697,1358504,307433,151183,,156251,1039031,192687,,846281,140171,112237,,27931,4306380,1600076,,2706308,55135,,424600,479737
2014,BRAZOS,2773669,,1787811,1744872,42939,76876,39376,,37500,134900,8146,,126752,9576,6814,,2763,437751,202026,,235732,31921,,171752,203671
2014,BRAZOS-COLORADO,88536,,112774,66625,46149,1807,1150,,657,31248,813,,30435,0,0,,0,12524,12284,,240,0,,1,1
2014,CANADIAN,184895,,1795682,1795497,185,34764,27515,,7249,26225,26183,,42,1755,1443,,312,39634,36017,,3617,1132,,0,1132
2014,COLORADO,2087412,,1018030,973179,44851,16974,8553,,8421,19320,5896,,13424,41943,39926,,2017,308193,86980,,221214,5454,,59934,65388
2014,COLORADO-LAVACA,25406,,54479,51662,2817,865,580,,285,26877,1201,,25677,0,0,,0,3656,3545,,111,0,,0,0
2014,CYPRESS,153527,,767,438,329,11554,3140,,8414,3136,772,,2364,1118,243,,875,18080,7753,,10327,72,,39092,39164
2014,GUADALUPE,528161,,11708,10895,813,17399,9430,,7969,15655,6669,,8986,9971,8879,,1092,79286,40613,,38674,1214,,495,1709
