Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2012,0503600,CITY OF LITTLEFIELD,"6,372",Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"5,640,000","4,875,000","8,120,000","7,563,000","3,602,000","8,000","295,000","685,000","7,596,000","5,927,000","4,832,000","5,678,000","54,821,000"
2012,0503600,CITY OF LITTLEFIELD,"6,372",Ground Water,SS,O,LAMB,BRAZOS,OLDHAM,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"3,705,000","2,775,000","4,919,000","5,699,000","5,026,000","6,771,000","6,298,000","3,493,000",0,0,"3,002,000","3,600,000","45,288,000"
2012,0507000,CITY OF LOCKNEY,"1,842",Reuse,Ss,O,FLOYD,BRAZOS,FLOYD,BRAZOS,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"38,743,000"
2012,0518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,"233,651",Ground Water,SS,O,LUBBOCK,BRAZOS,BAILEY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,175,N,N,0.00,"399,104,000","301,215,000","370,379,000","462,005,000","455,870,500","480,583,000","712,451,000","747,974,000","507,974,000","341,603,200","256,682,000","273,832,000","5,309,672,700"
2012,0518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,"233,651",Surface Water,Ss,O,LUBBOCK,BRAZOS,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"294,360","215,510","604,970","886,330","800,270","873,670","1,268,730","17,140,230","27,792,240","59,926,240","56,469,910","36,764,060","203,036,520"
2012,0585400,CITY OF MULESHOE,"5,158",Ground Water,SS,O,BAILEY,BRAZOS,BAILEY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"14,356,000","18,011,000","17,114,000","26,768,000","36,373,000","32,937,000","36,611,000","49,462,000","35,570,000","22,448,000","18,915,000","16,994,000","325,559,000"
2012,0585400,CITY OF MULESHOE,"5,158",Reuse,Ss,O,BAILEY,BRAZOS,BAILEY,BRAZOS,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"85,322,000"
2012,0683800,CITY OF PLAINS,"1,580",Ground Water,SS,O,YOAKUM,COLORADO,YOAKUM,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,5,N,N,100.00,"4,877,200","4,821,900","8,594,100","13,210,200","11,354,000","14,417,000","17,598,270","15,378,000","9,620,000","7,788,800","6,331,100","7,804,200","121,794,770"
2012,0686812,LOMA ALTA WATER SUPPLY INC,93,Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,124,557","1,124,557"
2012,0801800,CITY OF SLATON,"6,121",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0.00,"851,000","607,000","488,000","361,000",0,"3,254,000","6,455,000","4,638,000","1,655,000","3,808,000",0,"30,000","22,147,000"
