HUC8,HUC8 Name,Report Year,Component Type,Component ID,Component Name,Component Volume,TimeframeStart,TimeframeEnd
10190001,South Platte Headwater,2014,ReservoirStorage,06016010,ANTERO RESERVOIR,16200.0,2014-06-01,2014-06-28
10190001,South Platte Headwater,2014,ReservoirStorage,06016010,ANTERO RESERVOIR,15600.0,2014-07-01,2014-07-28
10190001,South Platte Headwater,2014,ReservoirStorage,06016010,ANTERO RESERVOIR,16400.0,2014-08-01,2014-08-28
10190001,South Platte Headwater,2014,ReservoirStorage,06016010,ANTERO RESERVOIR,15600.0,2014-09-01,2014-09-28
10190001,South Platte Headwater,2014,ReservoirStorage,06016010,ANTERO RESERVOIR,15700.0,2014-10-01,2014-10-28
10190001,South Platte Headwater,2014,ReservoirStorage,06016010,ANTERO RESERVOIR,16000.0,2014-11-01,2014-11-28
10190001,South Platte Headwater,2014,ReservoirStorage,06016010,ANTERO RESERVOIR,16000.0,2014-12-01,2014-12-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,16100.0,2015-01-01,2015-01-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,16100.0,2015-02-01,2015-02-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,16100.0,2015-03-01,2015-03-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,15900.0,2015-04-01,2015-04-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,16100.0,2015-05-01,2015-05-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,15600.0,2015-06-01,2015-06-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,12000.0,2015-07-01,2015-07-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,1500.0,2015-08-01,2015-08-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,14.0,2015-10-01,2015-10-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,22.0,2015-09-01,2015-09-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,0.0,2015-11-01,2015-11-28
10190001,South Platte Headwater,2015,ReservoirStorage,06016010,ANTERO RESERVOIR,0.0,2015-12-01,2015-12-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,0.0,2016-01-01,2016-01-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,0.0,2016-02-01,2016-02-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,0.0,2016-03-01,2016-03-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,500.0,2016-04-01,2016-04-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,2100.0,2016-05-01,2016-05-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,4600.0,2016-06-01,2016-06-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,11000.0,2016-07-01,2016-07-28
