LU_SEQ_NO,CONTEXT,VALUE,DESCRIPTION,STATE,LAST_CHANGE_DATE,RETIRED_FLAG
1,TWDB,FRESH,Freshwater,37,,
2,TWDB,brackish,brackish,37,,
3,TWDB,seawater,seawater,37,,
