LU_SEQ_NO,CONTEXT,VALUE,DESCRIPTION,STATE,LAST_CHANGE_DATE,RETIRED_FLAG
1,TWDB,ground,,37,,
2,TWDB,surface,,37,,
3,TWDB,reuse,,37,,
