DataPublicationDate,OrganizationUUID,RegulatoryOverlayUUID,ReportingUnitUUID
2020-09-20,OWRB,OKre_RO3,OKre_RU113
2020-09-20,OWRB,OKre_RO3,OKre_RU114
2020-09-20,OWRB,OKre_RO3,OKre_RU115
2020-09-20,OWRB,OKre_RO3,OKre_RU116
2020-09-20,OWRB,OKre_RO3,OKre_RU117
2020-09-20,OWRB,OKre_RO3,OKre_RU118
2020-09-20,OWRB,OKre_RO3,OKre_RU119
2020-09-20,OWRB,OKre_RO3,OKre_RU120
2020-09-20,OWRB,OKre_RO3,OKre_RU121
2020-09-20,OWRB,OKre_RO3,OKre_RU122
2020-09-20,OWRB,OKre_RO3,OKre_RU123
2020-09-20,OWRB,OKre_RO3,OKre_RU124
2020-09-20,OWRB,OKre_RO3,OKre_RU125
2020-09-20,OWRB,OKre_RO3,OKre_RU126
2020-09-20,OWRB,OKre_RO3,OKre_RU127
2020-09-20,OWRB,OKre_RO3,OKre_RU128
2020-09-20,OWRB,OKre_RO3,OKre_RU129
2020-09-20,OWRB,OKre_RO3,OKre_RU130
2020-09-20,OWRB,OKre_RO3,OKre_RU131
2020-09-20,OWRB,OKre_RO3,OKre_RU132
2020-09-20,OWRB,OKre_RO3,OKre_RU133
2020-09-20,OWRB,OKre_RO3,OKre_RU134
2020-09-20,OWRB,OKre_RO3,OKre_RU135
2020-09-20,OWRB,OKre_RO3,OKre_RU136
2020-09-20,OWRB,OKre_RO3,OKre_RU137
2020-09-20,OWRB,OKre_RO3,OKre_RU138
2020-09-20,OWRB,OKre_RO3,OKre_RU139
2020-09-20,OWRB,OKre_RO3,OKre_RU140
2020-09-20,OWRB,OKre_RO3,OKre_RU141
2020-09-20,OWRB,OKre_RO3,OKre_RU142
2020-09-20,OWRB,OKre_RO3,OKre_RU143
2020-09-20,OWRB,OKre_RO3,OKre_RU144
2020-09-20,OWRB,OKre_RO3,OKre_RU145
2020-09-20,OWRB,OKre_RO3,OKre_RU146
2020-09-20,OWRB,OKre_RO3,OKre_RU147
2020-09-20,OWRB,OKre_RO3,OKre_RU148
2020-09-20,OWRB,OKre_RO3,OKre_RU149
2020-09-20,OWRB,OKre_RO3,OKre_RU150
2020-09-20,OWRB,OKre_RO3,OKre_RU151
2020-09-20,OWRB,OKre_RO3,OKre_RU152
2020-09-20,OWRB,OKre_RO3,OKre_RU153
2020-09-20,OWRB,OKre_RO3,OKre_RU154
2020-09-20,OWRB,OKre_RO3,OKre_RU155
2020-09-20,OWRB,OKre_RO3,OKre_RU156
2020-09-20,OWRB,OKre_RO4,OKre_RU157
2020-09-20,OWRB,OKre_RO4,OKre_RU158
2020-09-20,OWRB,OKre_RO4,OKre_RU159
2020-09-20,OWRB,OKre_RO4,OKre_RU160
2020-09-20,OWRB,OKre_RO4,OKre_RU161
2020-09-20,OWRB,OKre_RO5,OKre_RU162
2020-09-20,OWRB,OKre_RO5,OKre_RU163
2020-09-20,OWRB,OKre_RO5,OKre_RU164
2020-09-20,OWRB,OKre_RO5,OKre_RU165
2020-09-20,OWRB,OKre_RO5,OKre_RU166
2020-09-20,OWRB,OKre_RO5,OKre_RU167
2020-09-20,OWRB,OKre_RO5,OKre_RU168
2020-09-20,OWRB,OKre_RO5,OKre_RU169
2020-09-20,OWRB,OKre_RO5,OKre_RU170
2020-09-20,OWRB,OKre_RO5,OKre_RU171
2020-09-20,OWRB,OKre_RO5,OKre_RU172
2020-09-20,OWRB,OKre_RO5,OKre_RU173
2020-09-20,OWRB,OKre_RO5,OKre_RU174
2020-09-20,OWRB,OKre_RO5,OKre_RU175
2020-09-20,OWRB,OKre_RO5,OKre_RU176
2020-09-20,OWRB,OKre_RO5,OKre_RU177
2020-09-20,OWRB,OKre_RO5,OKre_RU178
2020-09-20,OWRB,OKre_RO5,OKre_RU179
2020-09-20,OWRB,OKre_RO5,OKre_RU180
2020-09-20,OWRB,OKre_RO5,OKre_RU181
2020-09-20,OWRB,OKre_RO5,OKre_RU182
2020-09-20,OWRB,OKre_RO5,OKre_RU183
2020-09-20,OWRB,OKre_RO3,OKre_RU184
2020-09-20,OWRB,OKre_RO3,OKre_RU185
2020-09-20,OWRB,OKre_RO2,OKre_RU186
2020-09-20,OWRB,OKre_RO3,OKre_RU187
2020-09-20,OWRB,OKre_RO3,OKre_RU188
2020-09-20,OWRB,OKre_RO3,OKre_RU189
2020-09-20,OWRB,OKre_RO2,OKre_RU190
