in_MethodTypeCV,in_VariableSpecificCV,in_WaterSourceTypeCV,in_ReportingUnitName,in_ReportingUnitNativeID,in_ReportingUnitTypeCV,in_ReportYearCV,in_Amount,in_WaterSourceNativeID
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,1996,112610,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,1997,110902,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,1998,114454,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,1999,114811,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2000,117070,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2001,115501,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2002,117262,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2003,122240,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2004,117413,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2005,118056,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2006,123919,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2007,117384,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2008,112153,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2009,118678,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2010,124185,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2011,122145,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LITTLE BLUE,3,Basin,2012,127178,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1988,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1989,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1990,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1991,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1992,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1993,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1994,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1995,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1996,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1997,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1998,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,1999,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2000,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2001,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2002,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2003,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2004,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2005,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2006,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2007,0,WaDENE_WS1
