OBJECTID,TCEQ_ID,TYPE,VERIFIED,LAT_DD,LONG_DD,HORZ_METH,HORZ_ACC,HORZ_REF,HORZ_DATE,HORZ_ORG,HORZ_DATUM,WR_ID,WR_TYPE_NO,SHAPE
21774,62204536301,On-channel Reservoir,1,26.224601,-97.586049,DOQ,5,OTHER,11/18/2009,TCEQ,NAD83,C4536,ADJ4536,Point
21775,62204537001,Diversion Point,3,26.255641,-97.613437,MAP_MAN,130,OTHER,11/18/2009,TCEQ,NAD83,C4537,ADJ4537,Point
21776,62204537401,Off-channel Reservoir,1,26.253708,-97.616645,DOQ,5,OTHER,11/18/2009,TCEQ,NAD83,C4537,ADJ4537,Point
21777,62204541001,Diversion Point,3,26.136942,-97.523138,MAP_MAN,130,OTHER,11/18/2009,TCEQ,NAD83,C4541,ADJ4541,Point
21778,62204541002,Diversion Point,3,26.129414,-97.528149,MAP_MAN,130,OTHER,11/18/2009,TCEQ,NAD83,C4541,ADJ4541,Point
21779,62204541003,Diversion Point,3,26.122002,-97.531739,MAP_MAN,130,OTHER,11/18/2009,TCEQ,NAD83,C4541,ADJ4541,Point
21780,62204541301,On-channel Reservoir,1,26.137402,-97.523533,DOQ,5,OTHER,11/18/2009,TCEQ,NAD83,C4541,ADJ4541,Point
21781,60704457001,Diversion Point,3,29.814429,-94.283176,MAP_MAN,130,OTHER,1/12/2010,TCEQ,NAD83,C4457,ADJ4457,Point
21782,60704458001,Diversion Point,3,29.814429,-94.283176,MAP_MAN,130,OTHER,1/12/2010,TCEQ,NAD83,C4458,ADJ4458,Point
21783,60704460001,Diversion Point,3,29.814429,-94.283176,MAP_MAN,130,OTHER,1/12/2010,TCEQ,NAD83,C4460,ADJ4460,Point
21784,60704461001,Diversion Point,3,29.814429,-94.283176,MAP_MAN,130,OTHER,1/12/2010,TCEQ,NAD83,C4461,ADJ4461,Point
21785,60604401002,Diversion Point,3,31.769924,-94.581549,MAP_MAN,130,OTHER,12/29/2009,TCEQ,NAD83,C4401,ADJ4401,Point
21786,60604401001,Diversion Point,3,31.772,-94.586637,MAP_MAN,130,OTHER,12/29/2009,TCEQ,NAD83,C4401,ADJ4401,Point
21787,10603966001,Diversion Point,3,31.691934,-94.439331,MAP_MAN,130,OTHER,12/29/2009,TCEQ,NAD83,P3966,WRPERM3966,Point
21788,60604402001,Diversion Point,2,31.829848,-94.609248,DRG,12,OTHER,12/29/2009,TCEQ,NAD83,C4402,ADJ4402,Point
21789,60604402301,On-channel Reservoir,1,31.829661,-94.607869,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C4402,ADJ4402,Point
21790,60603254302,On-channel Reservoir,1,31.841738,-95.441456,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3254,ADJ3254,Point
21791,60603254005,Diversion Point,9,32.057023,-95.436706,UNKNOWN,-9999,OTHER,12/29/2009,TCEQ,NAD83,C3254,ADJ3254,Point
21792,60603254001,Diversion Point,9,32.057023,-95.436706,UNKNOWN,-9999,OTHER,12/29/2009,TCEQ,NAD83,C3254,ADJ3254,Point
21793,60603254301,On-channel Reservoir,1,32.057023,-95.436706,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3254,ADJ3254,Point
21794,60603254009,Diversion Point,9,32.057023,-95.436706,UNKNOWN,-9999,OTHER,12/29/2009,TCEQ,NAD83,C3254,ADJ3254,Point
21795,60603254006,Diversion Point,9,32.057023,-95.436706,UNKNOWN,-9999,OTHER,12/29/2009,TCEQ,NAD83,C3254,ADJ3254,Point
21796,60603241301,On-channel Reservoir,1,32.315116,-95.414461,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3241,ADJ3241,Point
21797,60603261301,On-channel Reservoir,1,31.974776,-95.463109,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3261,ADJ3261,Point
21798,60603256301,On-channel Reservoir,1,32.206548,-95.723943,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3256,ADJ3256,Point
21799,60603259302,On-channel Reservoir,1,32.133717,-95.605111,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3259,ADJ3259,Point
21800,60603259301,On-channel Reservoir,1,32.133099,-95.602371,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3259,ADJ3259,Point
21801,10604220301,On-channel Reservoir,1,31.846638,-95.19314,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,P4220,WRPERM4220,Point
21802,10605415301,On-channel Reservoir,1,32.378583,-95.705357,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,P5415,WRPERM5415,Point
21803,10603843301,On-channel Reservoir,1,32.519088,-95.559211,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,P3843,WRPERM3843,Point
