OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,PrimaryUseCategory,BeneficialUseCategory,WaterSourceUUID,MethodUUID,TimeframeStart,TimeframeEnd,DataPublicationDate,DataPublicationDOI,ReportYearCV,Amount,PopulationServed,PowerGeneratedGWh,IrrigatedAcreage,InterbasinTransferToID,InterbasinTransferFromID,CustomerTypeCV,AllocationCropDutyAmount,IrrigationMethodCV,CropTypeCV,CommunityWaterSupplySystem,SDWISIdentifierCV,PowerType
UTDWRE,49007,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,32009.17238,,,,,,,,,,,,
UTDWRE,49007,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,29213.70682,,,,,,,,,,,,
UTDWRE,49007,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,28695.6601,,,,,,,,,,,,
UTDWRE,49007,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,29009.20845,,,,,,,,,,,,
UTDWRE,49007,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,26043.72823,,,,,,,,,,,,
UTDWRE,49007,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,29125.36326,,,,,,,,,,,,
UTDWRE,49007,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,25966.94057,,,,,,,,,,,,
UTDWRE,49007,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,26989.4187,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,6901.058008,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,5831.914444,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,4869.613507,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,6010.313181,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,5835.110729,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,6064.627127,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,8716.318873,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,5878.918119,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,6283.099398,,,,,,,,,,,,
UTDWRE,49009,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,7089.450787,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,39374.38327,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,46173.82706,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,38534.7438,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,36533.76573,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,29391.89877,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,30491.54546,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,26496.5803,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,39127.59395,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,38041.17868,,,,,,,,,,,,
UTDWRE,49011,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,32345.55099,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,207641.0685,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,257496.6017,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,227146.7281,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,248071.2891,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,242609.9587,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,230562.4596,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,223405.8934,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,228518.3893,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,224742.5018,,,,,,,,,,,,
UTDWRE,49013,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,217305.2861,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,107083.0057,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,112413.7952,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,77147.6493,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,108968.4517,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,102201.2894,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,90241.20786,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,114265.5927,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,77305.01589,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,80707.8653,,,,,,,,,,,,
UTDWRE,49015,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,103932.5892,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,46728.91561,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,52465.69985,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,50766.27629,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,54243.86416,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,51953.78502,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,46424.69669,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,37646.06629,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,44900.41047,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,40169.9907,,,,,,,,,,,,
UTDWRE,49017,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,46239.79768,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,15127.07525,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,16740.26504,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,16162.78871,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,17057.73548,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,17229.51551,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,16241.41962,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,18892.13268,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,21327.83576,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,19612.23056,,,,,,,,,,,,
UTDWRE,49019,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,18250.21638,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,127400.1764,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,140175.4449,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,129265.4465,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,144207.4111,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,145898.4562,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,135345.7337,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,135297.9177,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,136966.7819,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,130028.387,,,,,,,,,,,,
UTDWRE,49021,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,127192.9522,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,44551.31458,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,52394.13203,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,55143.31587,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,51240.03538,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,48169.59769,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,45681.67093,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,40912.90682,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,56767.40543,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,53756.92202,,,,,,,,,,,,
UTDWRE,49023,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,48285.19021,,,,,,,,,,,,
UTDWRE,49025,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,11357.3334,,,,,,,,,,,,
UTDWRE,49025,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,11511.86867,,,,,,,,,,,,
UTDWRE,49025,UT_Consumptive Use Irrigation,Agriculture,Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,11822.22402,,,,,,,,,,,,
