Year,in_ReportingUnitType,in_ReportingUnitNativeID,in_ReportingUnitName,NV_BenUse,in_Amount,in_TimeframeStart,in_TimeframeEnd
2015,Basin,131,Buffalo Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,052,Marys Creek Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,059,Lower Reese River Valley,COM,1.0,01/01/2015,12/31/2015
2015,Basin,060,Whirlwind Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,022,San Emidio Desert,COM,0.0,01/01/2015,12/31/2015
2015,Basin,079,Kumiva Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,046,South Fork Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,053,Pine Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,047,Huntington Valley,COM,243.35,01/01/2015,12/31/2015
2015,Basin,078,Granite Springs Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,129,Buena Vista Valley,COM,7.84,01/01/2015,12/31/2015
2015,Basin,054,Crescent Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,178A,Butte Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,186B,Antelope Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,098,Skedaddle Creek Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,130,Pleasant Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,073,Lovelock Valley,COM,272.88,01/01/2015,12/31/2015
2015,Basin,073A,Lovelock Valley,COM,37.92,01/01/2015,12/31/2015
2015,Basin,080,Winnemucca Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,019,Dry Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,081,Pyramid Lake Valley,COM,15.34,01/01/2015,12/31/2015
2015,Basin,179,Steptoe Valley,COM,50.0,01/01/2015,12/31/2015
2015,Basin,020,Sano Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,097,Honey Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,132,Jersey Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,055,Carico Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,186A,Antelope Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,101A,Carson Desert,COM,0.0,01/01/2015,12/31/2015
2015,Basin,058,Middle Reese River Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,178B,Butte Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,193,Deep Creek Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,153,Diamond Valley,COM,4.0,01/01/2015,12/31/2015
2015,Basin,175,Long Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,128,Dixie Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,057,Antelope Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,138,Grass Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,095,Dry Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,185,Tippett Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,096,Newcomb Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,074,White Plains,COM,42.96,01/01/2015,12/31/2015
2015,Basin,184,Spring Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,101,Carson Desert,COM,713.96,01/01/2015,12/31/2015
2015,Basin,077,Fireball Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,075,Bradys Hot Springs Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,154,Newark Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,056,Upper Reese River Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,099,Red Rock Valley,COM,5.02,01/01/2015,12/31/2015
2015,Basin,094,Bedell Flat,COM,8.52,01/01/2015,12/31/2015
2015,Basin,139,Kobeh Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,093,Antelope Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,194,Pleasant Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,082,Dodge Flat,COM,453.2,01/01/2015,12/31/2015
2015,Basin,133,Edwards Creek Valley,COM,11.0,01/01/2015,12/31/2015
2015,Basin,195,Snake Valley,COM,9.86,01/01/2015,12/31/2015
2015,Basin,076,Fernley Area,COM,25.54,01/01/2015,12/31/2015
2015,Basin,134,Smith Creek,COM,0.0,01/01/2015,12/31/2015
2015,Basin,137B,Big Smoky Valley,COM,29.59,01/01/2015,12/31/2015
2015,Basin,174,Jakes Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,126,Cowkick Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,127,Eastgate Valley Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,152,Stevens Basin,COM,0.0,01/01/2015,12/31/2015
2015,Basin,151,Antelope Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,124,Fairview Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,155A,Little Smoky Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,140A,Monitor Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,125,Stingaree Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,207,White River Valley,COM,5.0,01/01/2015,12/31/2015
2015,Basin,173B,Railroad Valley,COM,1.05,01/01/2015,12/31/2015
2015,Basin,123,Rawhide Flats,COM,0.0,01/01/2015,12/31/2015
2015,Basin,110A,Walker Lake Valley,COM,4.0,01/01/2015,12/31/2015
2015,Basin,122,Gabbs Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,150,Little Fish Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,155C,Little Smoky Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,135,Ione Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,140B,Monitor Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,156,Hot Creek,COM,0.0,01/01/2015,12/31/2015
2015,Basin,155B,Little Smoky Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,196,Hamlin Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,180,Cave Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,183,Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,110B,Walker Lake Valley,COM,23.93742,01/01/2015,12/31/2015
2015,Basin,137A,Big Smoky Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,110C,Walker Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,149,Stone Cabin Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,141,Ralston Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,121A,Soda Spring Valley,COM,5.813407,01/01/2015,12/31/2015
2015,Basin,121B,Soda Spring Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,136,Monte Cristo Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,181,Dry Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,120,Garfield Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,201,Spring Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,119,Rhodes Salt Marsh Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,172,Garden Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,111A,Alkali Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,118,Columbus Salt Marsh Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,208,Pahroc Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,202,Patterson Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,111B,Alkali Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,114,Teels Marsh Valley,COM,1.1784576,01/01/2015,12/31/2015
2015,Basin,113,Huntoon Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,171,Coal Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,112,Mono Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,173A,Railroad Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,200,Eagle Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,170,Penoyer Valley,COM,13.0,01/01/2015,12/31/2015
2015,Basin,115,Adobe Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,142,Alkali Spring Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,199,Rose Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,198,Dry Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,143,Clayton Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,116,Queen Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,117,Fish Lake Valley,COM,23.0,01/01/2015,12/31/2015
2015,Basin,197,Escalante Desert,COM,0.0,01/01/2015,12/31/2015
2015,Basin,148,Cactus Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,147,Gold Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,145,Stonewall Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,209,Pahranagat Valley,COM,35.0,01/01/2015,12/31/2015
2015,Basin,144,Lida Valley,COM,182.96,01/01/2015,12/31/2015
2015,Basin,182,Delamar Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,157,Kawich Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,169A,Tikapoo Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,158A,Emigrant Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,146,Sarcobatus Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,206,Kane Springs Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,232,Oriental Wash,COM,0.0,01/01/2015,12/31/2015
2015,Basin,228,Oasis Valley,COM,5.52,01/01/2015,12/31/2015
2015,Basin,169B,Tikapoo Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,227B,Fortymile Canyon,COM,0.0,01/01/2015,12/31/2015
2015,Basin,159,Yucca Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,231,Grapevine Canyon,COM,0.0,01/01/2015,12/31/2015
2015,Basin,158B,Emigrant Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,168,Three Lakes Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,160,Frenchman Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,161,Indian Springs Valley,COM,4.0,01/01/2015,12/31/2015
2015,Basin,227A,Fortymile Canyon,COM,0.0,01/01/2015,12/31/2015
2015,Basin,229,Crater Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,230,Amargosa Desert,COM,1907.0,01/01/2015,12/31/2015
2015,Basin,226,Rock Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,211,Three Lakes Valley,COM,300.0,01/01/2015,12/31/2015
2015,Basin,225,Mercury Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,224,Greasewood Basin,COM,0.0,01/01/2015,12/31/2015
2015,Basin,213,Colorado Valley,COM,5.71,01/01/2015,12/31/2015
2015,Basin,164A,Ivanpah Valley,COM,12.0,01/01/2015,12/31/2015
2015,Basin,165,Jean Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,166,Hidden Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,164B,Ivanpah Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,214,Piute Valley,COM,10.08,01/01/2015,12/31/2015
2015,Basin,091,Truckee Canyon Segment,COM,124.2282271,01/01/2015,12/31/2015
2015,Basin,090,Lake Tahoe Basin,COM,17.19,01/01/2015,12/31/2015
2015,Basin,083,Tracy Segment,COM,189.74,01/01/2015,12/31/2015
2015,Basin,102,Churchill Valley,COM,9.0,01/01/2015,12/31/2015
2015,Basin,089,Washoe Valley,COM,58.0,01/01/2015,12/31/2015
2015,Basin,105,Carson Valley,COM,43.0,01/01/2015,12/31/2015
2015,Basin,086,Sun Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,088,Pleasant Valley,COM,13.0,01/01/2015,12/31/2015
2015,Basin,109,East Walker Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,221,Tule Desert,COM,0.0,01/01/2015,12/31/2015
2015,Basin,162,Pahrump Valley,COM,561.0,01/01/2015,12/31/2015
2015,Basin,104,Eagle Valley,COM,25.81,01/01/2015,12/31/2015
2015,Basin,103,Dayton Valley,COM,146.847,01/01/2015,12/31/2015
2015,Basin,087,Truckee Meadows,COM,309.0,01/01/2015,12/31/2015
2015,Basin,085,Spanish Springs Valley,COM,171.09781407,01/01/2015,12/31/2015
2015,Basin,092A,Lemmon Valley,COM,2.3,01/01/2015,12/31/2015
2015,Basin,092B,Lemmon Valley,COM,30.61,01/01/2015,12/31/2015
2015,Basin,100,Cold Spring Valley,COM,0.77,01/01/2015,12/31/2015
2015,Basin,084,Warm Springs Valley,COM,19.0,01/01/2015,12/31/2015
2015,Basin,024,Hualapai Flat,COM,4.48,01/01/2015,12/31/2015
2015,Basin,210,Coyote Spring Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,167,Eldorado Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,163,Mesquite Valley,COM,18.0,01/01/2015,12/31/2015
2015,Basin,108,Mason Valley,COM,933.0,01/01/2015,12/31/2015
2015,Basin,071,Grass Valley,COM,31.0,01/01/2015,12/31/2015
2015,Basin,203,Panaca Valley,COM,54.0,01/01/2015,12/31/2015
2015,Basin,204,Clover Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,216,Garnet Valley,COM,21.0,01/01/2015,12/31/2015
2015,Basin,217,Hidden Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,219,Muddy River Springs Area,COM,36.83,01/01/2015,12/31/2015
2015,Basin,212,Las Vegas Valley,COM,836.0,01/01/2015,12/31/2015
2015,Basin,106,Antelope Valley,COM,45.0,01/01/2015,12/31/2015
2015,Basin,049,Elko Segment,COM,36.04208318,01/01/2015,12/31/2015
2015,Basin,100A,Long Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,205,Lower Meadow Valley Wash,COM,7.0,01/01/2015,12/31/2015
2015,Basin,222,Virgin River Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,220,Lower Moapa Valley,COM,115.6,01/01/2015,12/31/2015
2015,Basin,218,California Wash,COM,0.0,01/01/2015,12/31/2015
2015,Basin,223,Gold Butte Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,215,Black Mountains Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,107,Smith Valley,COM,516.0,01/01/2015,12/31/2015
2017,Basin,009,Long Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,033B,Quinn River Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,012,Mosquito Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,007,Swan Lake Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,029,Pine Forest Valley,COM,4.48,01/01/2017,12/31/2017
2017,Basin,014,Surprise Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,189B,Thousand Springs Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,033A,Quinn River Valley,COM,80.4,01/01/2017,12/31/2017
2017,Basin,067,Little Humboldt Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,190,Grouse Creek Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,008,Massacre Lake Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,003,Gridley Lake Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,042,Marys River Area,COM,31.27123892,01/01/2017,12/31/2017
2017,Basin,068,Hardscrabble Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,189D,Thousand Springs Valley,COM,8.41,01/01/2017,12/31/2017
2017,Basin,013,Warner Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,011,Coleman Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,041,Goose Creek Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,010,Macy Flat,COM,0.0,01/01/2017,12/31/2017
2017,Basin,040,Salmon Falls Creek Area,COM,549.37,01/01/2017,12/31/2017
2017,Basin,006,Guano Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,005,Sage Hen Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,004,Virgin Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,039,Jarbidge River Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,002,Continental Lake Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,038,Bruneau River Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,001,Pueblo Valley,COM,5.43,01/01/2017,12/31/2017
2017,Basin,030A,Kings River Valley,COM,112.35,01/01/2017,12/31/2017
2017,Basin,037,Owyhee River Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,034,Little Owyhee  River Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,035,South Fork Owyhee River Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,028,Black Rock Desert,COM,0.0,01/01/2017,12/31/2017
2017,Basin,189C,Thousand Springs Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,069,Paradise Valley,COM,53.38997124,01/01/2017,12/31/2017
2017,Basin,025,High Rock Lake Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,030B,Kings River Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,027,Summit Lake Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,044,North Fork Area,COM,2.537895,01/01/2017,12/31/2017
2017,Basin,036,Independence Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,026,Mud Meadow,COM,0.0,01/01/2017,12/31/2017
2017,Basin,189A,Thousand Springs Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,031,Desert Valley,COM,1.81,01/01/2017,12/31/2017
2017,Basin,015,Boulder Valley,COM,0.0,01/01/2017,12/31/2017
