OID_,BasinID,BasinName,Total,COM,CON,DOM,ENV,IND,IRR,MM,MUN,OTH,PWR,QM,REC,STK,WLD,Shape_Length,Shape_Area
20,040,Salmon Falls Creek Area,5397.199999999999818,745.409999999999968,0.000000000000000,21.000000000000000,0.000000000000000,0.000000000000000,3957.000000000000000,0.000000000000000,207.979999999999990,39.820000000000000,0,351.990000000000009,0.000000000000000,74,0.000000000000000,266107.221897901385091,3164230280.580036163330078
21,006,Guano Valley,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0.000000000000000,103887.221399328831467,384944733.406049311161041
22,005,Sage Hen Valley,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0.000000000000000,45703.600153774917999,58529137.938652746379375
23,004,Virgin Valley,17.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,7.000000000000000,0.000000000000000,0,0.000000000000000,195389.257615253125550,1268281753.186951398849487
24,039,Jarbidge River Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0.000000000000000,132599.500564145739190,723674966.629646062850952
25,002,Continental Lake Valley,2900.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,2879.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,19,0.000000000000000,112203.853767197884736,549806763.029398679733276
26,038,Bruneau River Area,5.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,3,0.000000000000000,234278.633141862723278,1345606546.281848192214966
27,001,Pueblo Valley,4183.689999999999600,10.630000000000001,0.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,4146.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,4.060000000000000,0.000000000000000,3,0.000000000000000,110161.643975856117322,365971821.167492926120758
28,030A,Kings River Valley,50624.470000000001164,112.349999999999994,0.000000000000000,18.000000000000000,0.000000000000000,0.000000000000000,50373.000000000000000,0.000000000000000,0.000000000000000,94.120000000000005,0,1.000000000000000,0.000000000000000,26,0.000000000000000,139607.025363013934111,773413533.141696572303772
29,037,Owyhee River Area,234.770000000000010,0.000000000000000,0.000000000000000,90.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,112.599999999999994,0,25.719999999999999,4.450000000000000,2,0.000000000000000,211794.548863472737139,1376915556.230250835418701
30,034,Little Owyhee  River Area,8.180000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,6,0.180000000000000,223643.376933871244546,1806596674.227542638778687
31,035,South Fork Owyhee River Area,1382.240000000000009,0.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,1270.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,7.240000000000000,0.000000000000000,99,0.000000000000000,295120.632783851528075,3401077507.693449497222900
32,028,Black Rock Desert,12335.000000000000000,0.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,0.000000000000000,9931.000000000000000,2371.000000000000000,0.000000000000000,0.000000000000000,0,6.000000000000000,0.000000000000000,15,0.000000000000000,461755.996616352233104,5624780810.094588279724121
33,189C,Thousand Springs Valley,9.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,9,0.000000000000000,105638.658932973135961,485117681.576954841613770
34,069,Paradise Valley,67569.179999999993015,240.490000000000009,0.000000000000000,388.000000000000000,0.000000000000000,10.000000000000000,66897.000000000000000,0.000000000000000,0.000000000000000,11.230000000000000,0,13.960000000000001,2.500000000000000,6,0.000000000000000,200343.770891171647236,1558756898.835252046585083
35,025,High Rock Lake Valley,5.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,3,0.000000000000000,231279.976351844612509,1726429279.264697551727295
36,030B,Kings River Valley,238.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,232.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,5,0.000000000000000,99225.046760857192567,300295434.050750315189362
37,027,Summit Lake Valley,2.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,1,0.000000000000000,63403.656302338175010,149003751.175806403160095
38,044,North Fork Area,6973.050000000000182,2.540000000000000,0.000000000000000,416.000000000000000,481.870000000000005,92.680000000000007,4692.000000000000000,1075.509999999999991,0.000000000000000,0.000000000000000,0,67.450000000000003,0.000000000000000,145,0.000000000000000,303208.058007748390082,2853408357.204699039459229
39,036,Independence Valley,4595.635000000000218,0.000000000000000,0.000000000000000,19.000000000000000,0.000000000000000,1399.170000000000073,3006.000000000000000,131.655000000000001,17.879999999999999,0.000000000000000,0,1.930000000000000,0.000000000000000,20,0.000000000000000,156366.200156563951168,895752847.450151801109314
40,026,Mud Meadow,2197.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2197.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0.000000000000000,207627.667063808068633,1288045540.184286594390869
41,189A,Thousand Springs Valley,158.000000000000000,0.000000000000000,0.000000000000000,14.000000000000000,0.000000000000000,0.000000000000000,110.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,34,0.000000000000000,102267.224650852702325,401538432.294246971607208
42,031,Desert Valley,29963.000000000000000,2.000000000000000,0.000000000000000,13.000000000000000,0.000000000000000,2872.000000000000000,26216.000000000000000,6.000000000000000,0.000000000000000,65.000000000000000,0,2.000000000000000,772.000000000000000,15,0.000000000000000,249249.903187503368827,2743738393.307090759277344
