SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S7872,,COss_WS343,,Unspecified,DELTA,4326,,186289.0,,,38.836426,-107.777456,,,POD,SILVER FROG P/A POD,WaDECO_S7872,,MEASURING POINT,CO,
COss_S7873,,COss_WS323,,Unspecified,GUNNISON,4326,,186401.0,,,38.885602,-107.274951,,,POD,WEST BECKWITH P/A POD,WaDECO_S7873,,MEASURING POINT,CO,
COss_S7874,,COss_WS323,,Unspecified,GUNNISON,4326,,186401.0,,,38.84413,-107.314299,,,POD,DAVENPORT RANCH P/A POD,WaDECO_S7874,,MEASURING POINT,CO,
COss_S7875,,COss_WS323,,Unspecified,GUNNISON,4326,,186401.0,,,38.905985,-107.25531799999999,,,POD,BARTLETT P/A POD,WaDECO_S7875,,MEASURING POINT,CO,
COss_S7876,,COss_WS343,,Unspecified,DELTA,4326,,186289.0,,,38.843209,-107.780911,,,POD,TOWNSEND P/A POD,WaDECO_S7876,,MEASURING POINT,CO,
COss_S7877,,COss_WS319,,Unspecified,DELTA,4326,,186323.0,,,38.896524,-107.58464599999999,,,POD,GEORGE SMALL P/A POD,WaDECO_S7877,,MEASURING POINT,CO,
COss_S7878,,COss_WS323,,Unspecified,GUNNISON,4326,,186401.0,,,38.930158,-107.34898799999999,,,POD,ANTHRACITE LAND P/A POD,WaDECO_S7878,,MEASURING POINT,CO,
COss_S7879,,COss_WS319,,Unspecified,GUNNISON,4326,,186323.0,,,38.956959999999995,-107.33921000000001,,,POD,BEAR RANCH P/A POD,WaDECO_S7879,,MEASURING POINT,CO,
COss_S7880,,COss_WS362,,Unspecified,DELTA,4326,,186300.0,,,38.89821,-107.64493700000001,,,POD,GROSS-RHODE P/A  POD,WaDECO_S7880,,MEASURING POINT,CO,
COss_S7881,,COss_WS323,,Unspecified,GUNNISON,4326,,186401.0,,,38.953461,-107.274708,,,POD,SMOAK RESERVOIR P/A  POD,WaDECO_S7881,,MEASURING POINT,CO,
COss_S7882,,COss_WS319,,Unspecified,DELTA,4326,,186323.0,,,38.883117999999996,-107.587088,,,POD,MARTIN P/A POD,WaDECO_S7882,,MEASURING POINT,CO,
COss_S7883,,COss_WS320,,Unspecified,DELTA,4326,,175448.0,,,39.07529,-107.585045,,,POD,ELECTRIC MTN. REC. ASSN. P/A POD,WaDECO_S7883,,MEASURING POINT,CO,
COss_S7884,,COss_WS320,,Unspecified,DELTA,4326,,175448.0,,,39.077389000000004,-107.583422,,,POD,ELECTRIC MOUNT. LODGE P/A POD,WaDECO_S7884,,MEASURING POINT,CO,
COss_S7885,,COss_WS363,,Unspecified,MONTROSE,4326,,185397.0,,,38.504053000000006,-107.911359,,,POD,SELIG CANAL,WaDECO_S7885,,DITCH,CO,
COss_S7886,,COss_WS364,,Unspecified,MONTROSE,4326,,201748.0,,,38.484103999999995,-107.743605,,,POD,SOUTH CANAL,WaDECO_S7886,,DITCH,CO,
COss_S7887,,COss_WS363,,Unspecified,MONTROSE,4326,,185397.0,,,38.357292,-107.793493,,,POD,DWYER POND NO1,WaDECO_S7887,,RESERVOIR,CO,
COss_S7888,,COss_WS363,,Unspecified,MONTROSE,4326,,185397.0,,,38.357991,-107.79211200000002,,,POD,DWYER POND NO2,WaDECO_S7888,,RESERVOIR,CO,
COss_S7889,,COss_WS365,,Unspecified,MONTROSE,4326,,188247.0,,,38.340789,-107.64703200000001,,,POD,BUCKHORN RESERVOIR #2,WaDECO_S7889,,RESERVOIR,CO,
COss_S7890,,COss_WS363,,Unspecified,MONTROSE,4326,,185397.0,,,38.354135,-107.78983600000001,,,POD,ALEXANDER P/A POD,WaDECO_S7890,,MEASURING POINT,CO,
COss_S7891,,COss_WS363,,Unspecified,MONTROSE,4326,,185397.0,,,38.354135,-107.78983600000001,,,POD,DWYER POND P/A POD,WaDECO_S7891,,MEASURING POINT,CO,
COss_S7892,,COss_WS366,,Unspecified,MESA,4326,,174643.0,,,38.980271,-108.290334,,,POD,CITY DITCH,WaDECO_S7892,,DITCH,CO,
COss_S7893,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,38.963224,-108.227306,,,POD,GRAND JCT F L & W W,WaDECO_S7893,,DITCH,CO,
COss_S7894,,COss_WS364,,Unspecified,MESA,4326,,201748.0,,,38.989214000000004,-108.45541399999999,,,POD,JACKS PUMPING PLANT,WaDECO_S7894,,PUMP,CO,
COss_S7895,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.867277,-108.75569499999999,,,POD,NELLIE S ENL & EXT,WaDECO_S7895,,DITCH,CO,
COss_S7896,,COss_WS364,,Unspecified,MESA,4326,,201748.0,,,38.861837,-108.40251299999998,,,POD,STUART HALL DITCH,WaDECO_S7896,,PUMP,CO,
COss_S7897,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.849954,-108.75656799999999,,,POD,FRUITA PL & W SYS SPG 6,WaDECO_S7897,,SPRING,CO,
COss_S7898,,COss_WS369,,Unspecified,MESA,4326,,174655.0,,,39.025445,-108.12918700000002,,,POD,ANDERSON RES NO 1,WaDECO_S7898,,RESERVOIR,CO,
COss_S7899,,COss_WS369,,Unspecified,MESA,4326,,174655.0,,,39.034544,-108.12818,,,POD,ANDERSON RES NO 2,WaDECO_S7899,,RESERVOIR,CO,
COss_S7900,,COss_WS366,,Unspecified,MESA,4326,,174643.0,,,39.018094,-108.20935,,,POD,BOLEN A & J RES NO 2,WaDECO_S7900,,RESERVOIR,CO,
COss_S7901,,COss_WS366,,Unspecified,MESA,4326,,174643.0,,,39.024896999999996,-108.216149,,,POD,BOLEN RESERVOIR,WaDECO_S7901,,RESERVOIR,CO,
COss_S7902,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,38.995425,-108.109797,,,POD,CARSON LAKE,WaDECO_S7902,,RESERVOIR,CO,
