SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NVwr_S7351,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7995339990855,-117.718166999539,,,071  N34 E38 21CCCC1,,,Spring,NV,
NVwr_S7352,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.747055999290794,-117.84720099980801,,,071  N33 E37 08CBAD1,,,Spring,NV,
NVwr_S7353,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.58332999928,-117.852810000563,,,071  N31 E37 05CCCB1,,,Spring,NV,
NVwr_S7354,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.8312979991732,-117.745012999617,,,071  N34 E38 07DCBA1,,,Underground,NV,
NVwr_S7355,Unknown,Digitized,Humboldt,EPSG:4326,,,,,40.9016169992654,-117.76205799988001,,,071  N35 E37 13DCDD1,,,Underground,NV,
NVwr_S7356,Unknown,Digitized,Humboldt,EPSG:4326,,,,,40.9228679986999,-117.66126699944401,,,071  N35 E38 12BCCC1,,,stream,NV,
NVwr_S7357,Unknown,Digitized,Humboldt,EPSG:4326,,,,,40.78541999910821,-117.72250199953501,,,071  N34 E38 29DDCC1,,,Underground,NV,
NVwr_S7358,Unknown,Digitized,Humboldt,EPSG:4326,,,,,40.914152999331,-117.67991599971701,,,071  N35 E38 14BBBC1,,,Spring,NV,
NVwr_S7359,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7846239989195,-117.740764999618,,,071  N34 E38 31AABA1,,,Underground,NV,
NVwr_S7360,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.6677829992759,-117.815020999947,,,071  N32 E37 09AAAD1,,,Spring,NV,
NVwr_S7361,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7308629991504,-117.839166999907,,,071  N33 E37 17DBDB2,,,Spring,NV,
NVwr_S7362,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7224179992868,-117.756632000236,,,071  N33 E37 24ADAA1,,,Underground,NV,
NVwr_S7363,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.791509999418004,-117.736966000488,,,071  N34 E38 29CBBB1,,,Underground,NV,
NVwr_S7364,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7311289989786,-117.665769000189,,,071  N33 E38 14DACD1,,,stream,NV,
NVwr_S7365,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7849399990443,-117.74761199953,,,071  N34 E38 30CDDD1,,,Underground,NV,
NVwr_S7366,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.2799889989412,-117.66903199985701,,,069  N39 E38 11BAAA1,,,Underground,NV,
NVwr_S7367,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.2213349993593,-117.71687200038299,,,069  N39 E38 32AAAA1,,,Spring,NV,
NVwr_S7368,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.518496998698105,-117.48675400045,,,069  N42 E40 17DBAD1,,,Underground,NV,
NVwr_S7369,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.3963199994795,-117.59644799992701,,,069  N41 E39 33BBBA1,,,stream,NV,
NVwr_S7370,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.257655999041795,-117.67722500041599,,,069  N39 E38 14CBBC1,,,Underground,NV,
NVwr_S7371,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.4757309994076,-117.54476099969901,,,069  N42 E39 35DBBB1,,,Underground,NV,
NVwr_S7372,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.068527999103,-117.60073199948098,,,069  N37 E39 21CBBB1,,,Underground,NV,
NVwr_S7373,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.0696579994716,-117.56274999976499,,,069  N37 E39 23BCC 2,,,Underground,NV,
NVwr_S7374,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.4115529991063,-117.525222000468,,,069  N41 E39 24DDCC1,,,Underground,NV,
NVwr_S7375,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.421572999043605,-117.52712399970699,,,069  N41 E39 24ACAB1,,,Underground,NV,
NVwr_S7376,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.541079998811895,-117.54162599984899,,,069  N42 E39 11AAAB1,,,Underground,NV,
NVwr_S7377,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.206401999052,-117.52638000027399,,,069  N38 E39 01AAAC1,,,Underground,NV,
NVwr_S7378,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.096729998862,-117.702147000247,,,069  N37 E38 09DBDA1,,,Underground,NV,
NVwr_S7379,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.1491099990398,-117.592510000076,,,069  N38 E39 28BAAA1,,,Underground,NV,
NVwr_S7380,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.1633099989318,-117.582769999965,,,069  N38 E39 21AAA 1,,,Underground,NV,
