X,Y,OBJECTID,PERMIT_NUMBER,LATITUDE,LONGITUDE,WATER_CODE,LEGAL_QUARTER3,LEGAL_QUARTER2,LEGAL_QUARTER1,LEGAL_SECTION,LEGAL_TOWNSHIP,LEGAL_RANGE,LEGAL_TYPE,NWELLS,COUNTY,LL_METHOD,TOTAL_ACRE_FEET,PURPOSE_CODE,SIC_CODE,ENTITY_NAME,DATE_ISSUED,EXP_DATE,BRANCH_OFFICE_CODE,DIV_METHOD,DIV_RATE,DIV_FROM,DIV_TYPE,IRR_ACRES,LEASE,WR_NUMBER,STREAM_SYSTEM,AQUIFER_CODE,BASIN_CODE,STATUS_CODE
-99.788651388447832,36.028913110128144,75,2019G0189,36.02890694,-99.78864289,Groundwater,SE,SW,SW,17,18N,24WI,L,1,Ellis,,10,"Oil, Gas & Mining",Drilling oil and gas wells,Canadian Water Well Rental,2019-10-29T00:00:00.000Z,2020-01-27T00:00:00.000Z,W,Pump,400,,,,Warchime ,,,121OGLL,,
-98.227004192254086,36.087980596209796,76,2019S0835,36.08797433,-98.22699607,Surface Water,SW,SW,SW,25,19N,10WI,L,1,Blaine,,30,"Oil, Gas & Mining",Drilling oil and gas wells,"Husky Ventures, Inc.",2019-09-09T00:00:00.000Z,2019-12-08T00:00:00.000Z,W,Pump,1000,Spring Creek,Stream,,Hulk 1-25H,,2092,,,A
-97.420711332716095,35.041468626661093,77,2019S0984,35.0414625,-97.4207035,Surface Water,SE,NW,NW,33,07N,02WI,L,0,McClain,,194,"Oil, Gas & Mining",Drilling oil and gas wells,4M Family Revocable Trust,2019-11-01T00:00:00.000Z,2020-01-30T00:00:00.000Z,O,Pump,3500,Walnut Creek,Creek,,Parker Kent,,2061,,,
-98.041532323081839,36.050920766520449,78,2019G0174,36.0509145,-98.04152426,Groundwater,,,S2,10,18N,08WI,L,1,Kingfisher,,3,"Oil, Gas & Mining",Bituminous coal and lignite extraction,"Chisholm Oil and Gas Operating, LLC",2019-09-20T00:00:00.000Z,2019-12-19T00:00:00.000Z,O,Pump,2000,,,,DARREL 1808 10-1MH,,,111CMRN,,A
-97.466228000883433,34.383552461194597,79,2019S0833,34.38354646,-97.4662202,Surface Water,,SE,SE,13,02S,03WI,L,1,Carter,,58,"Oil, Gas & Mining",Dimensional Stone,Select Energy Services,2019-09-12T00:00:00.000Z,2019-12-11T00:00:00.000Z,L,Pump,2100,J Paul Johnson Pond,Pond,,Continental-Courbet,,1081,,,A
-97.843064818741084,35.645800246041709,80,2019S0875,35.64579404,-97.84305683,Surface Water,,,NE,33,14N,06WI,L,1,Canadian,,65,"Oil, Gas & Mining",Drilling oil and gas wells,Newfield,2019-09-17T00:00:00.000Z,2019-12-16T00:00:00.000Z,O,Pump,2500,Ed Rother Pond,Pond,,"Slash C 1406 2H, 3H & 4H-17X FRAC",,2092,,,A
-97.642152552817493,34.775742553288012,81,2019S0949,34.77573649,-97.64214468,Surface Water,,SW,NW,32,04N,04WI,L,1,Garvin,,4,"Oil, Gas & Mining",Drilling oil and gas wells,Select Energy Services,2019-10-22T00:00:00.000Z,2020-01-20T00:00:00.000Z,O,Pump,2100,Wren Pond,Pond,,RimRock-Clydesdale,,1082,,,A
-98.162829003215307,35.790522088643762,82,2019S0858,35.79051587,-98.16282093,Surface Water,SE,,,09,15N,09WI,L,1,Kingfisher,,32,"Oil, Gas & Mining",Drilling oil and gas wells,Devon Energy Production Company LP,2019-09-16T00:00:00.000Z,2019-12-15T00:00:00.000Z,O,Pump,1200,Private,Pond,,"McCarthy 10_3-15N-9W 2HX, 4HX, 5HX, 6HX",,2092,,,A
-94.890136768131342,36.215013829569195,83,2019G0164,36.21500737,-94.8901295,Groundwater,NW,SE,NE,18,20N,23EI,L,1,Delaware,,10,Agriculture,Chicken farms and ranches,Chau Tran and Donna Nguyen,2019-08-27T00:00:00.000Z,2019-11-25T00:00:00.000Z,T,Pump,25,,,,,20170583,,367RBDX,,
-97.501666297368843,34.790107900552414,84,2019S0751,34.79010183,-97.50165846,Surface Water,,SW,NW,27,04N,03WI,L,1,Garvin,,1,"Oil, Gas & Mining",Crude petroleum and natural gas production,Select Energy Services,2019-08-14T00:00:00.000Z,2019-11-12T00:00:00.000Z,O,Pump,80,Lewis pond,Pond,,DayLight-Lewis,,1082,,,A
