SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
IDwr_S225482,,GPS - Downloaded,,EPSG:4326,,,,,42.76291047,-113.529764,,,POD,3D825,823815,,Groundwater,ID,
IDwr_S225483,,GPS - Downloaded,,EPSG:4326,,,,,42.76376235,-113.5552989,,,POD,5B825,823817,,Groundwater,ID,
IDwr_S225484,,GPS - Downloaded,,EPSG:4326,,,,,42.76378379,-113.5553934,,,POD,5A825,823818,,Groundwater,ID,
IDwr_S225485,,GPS - Downloaded,,EPSG:4326,,,,,42.76532259,-113.6165584,,,POD,35B724,823700,,Groundwater,ID,
IDwr_S225486,,GPS - Downloaded,,EPSG:4326,,,,,42.76535756,-113.6164871,,,POD,35A724,823701,,Groundwater,ID,
IDwr_S225487,,GPS - Downloaded,,EPSG:4326,,,,,42.76674006,-113.757378,,,POD,34B723,823676,,Groundwater,ID,
IDwr_S225488,,GPS - Downloaded,,EPSG:4326,,,,,42.76688738,-113.75737,,,POD,34A723,823677,,Groundwater,ID,
IDwr_S225489,,GPS - Downloaded,,EPSG:4326,,,,,42.76908876,-113.5232138,,,POD,34A725,823708,,Groundwater,ID,
IDwr_S225490,,GPS - Downloaded,,EPSG:4326,,,,,42.76994647,-113.6552021,,,POD,33B724,823697,,Groundwater,ID,
IDwr_S225491,,GPS - Downloaded,,EPSG:4326,,,,,42.77000992,-113.6551317,,,POD,33A724,823698,,Groundwater,ID,
IDwr_S225492,,GPS - Downloaded,,EPSG:4326,,,,,42.77104516,-113.5635436,,,POD,32A725,823706,,Groundwater,ID,
IDwr_S225493,,GPS - Downloaded,,EPSG:4326,,,,,42.77202153,-113.6717305,,,POD,32B724,823695,,Groundwater,ID,
IDwr_S225494,,GPS - Downloaded,,EPSG:4326,,,,,42.77208339,-113.671914,,,POD,32A724,823696,,Groundwater,ID,
IDwr_S225495,,GPS - Downloaded,,EPSG:4326,,,,,42.77185949,-113.5812883,,,POD,31A725,823705,,Groundwater,ID,
IDwr_S225496,,GPS - Downloaded,,EPSG:4326,,,,,42.77251498,-113.6407227,,,POD,34A724,823699,,Groundwater,ID,
IDwr_S225497,,GPS - Downloaded,,EPSG:4326,,,,,42.7740269,-113.697137,,,POD,31A724,823694,,Groundwater,ID,
IDwr_S225498,,GPS - Downloaded,,EPSG:4326,,,,,42.77388626,-113.5456855,,,POD,33A725,823707,,Groundwater,ID,
IDwr_S225499,,GPS - Downloaded,,EPSG:4326,,,,,42.78078679,-113.5228857,,,POD,27A725,823702,,Groundwater,ID,
IDwr_S225500,,GPS - Downloaded,,EPSG:4326,,,,,42.7825397,-113.6971574,,,POD,30B724,823692,,Groundwater,ID,
IDwr_S225501,,GPS - Downloaded,,EPSG:4326,,,,,42.7827867,-113.6970165,,,POD,30A724,823693,,Groundwater,ID,
IDwr_S225502,,GPS - Downloaded,,EPSG:4326,,,,,42.78446887,-113.6244973,,,POD,26A724,823683,,Groundwater,ID,
IDwr_S225503,,GPS - Downloaded,,EPSG:4326,,,,,42.78466673,-113.5621197,,,POD,29A725,823703,,Groundwater,ID,
IDwr_S225504,,GPS - Downloaded,,EPSG:4326,,,,,42.78838642,-113.6136993,,,POD,26B724,823682,,Groundwater,ID,
IDwr_S225505,,GPS - Downloaded,,EPSG:4326,,,,,42.78942181,-113.6563215,,,POD,28B724,823685,,Groundwater,ID,
IDwr_S225506,,GPS - Downloaded,,EPSG:4326,,,,,42.7895589,-113.65609,,,POD,28A724,823684,,Groundwater,ID,
IDwr_S225507,,GPS - Downloaded,,EPSG:4326,,,,,42.7955454,-113.6294378,,,POD,22C724,823680,,Groundwater,ID,
IDwr_S225508,,GPS - Downloaded,,EPSG:4326,,,,,42.79630487,-113.6480933,,,POD,22B724,823678,,Groundwater,ID,
IDwr_S225509,,GPS - Downloaded,,EPSG:4326,,,,,42.80065755,-113.6381285,,,POD,22A724,823679,,Groundwater,ID,
IDwr_S225510,,GPS - Downloaded,,EPSG:4326,,,,,42.80415318,-113.6174903,,,POD,23A724,823681,,Groundwater,ID,
IDwr_S225511,,GPS - Downloaded,,EPSG:4326,,,,,42.69733773,-113.7249573,,,POD,Unspecified,823756,,Groundwater,ID,
IDwr_S225512,,Digitized,,EPSG:4326,,,,,42.65796528,-113.9946219,,,POD,Unspecified,823843,,Groundwater,ID,
IDwr_S225513,,GPS - Downloaded,,EPSG:4326,,,,,42.72458329,-113.6288166,,,POD,Unspecified,823797,,Groundwater,ID,
IDwr_S225514,,GPS - Manually Entered,,EPSG:4326,,,,,42.69926667,-113.7048667,,,POD,30C824,823809,,Groundwater,ID,
IDwr_S225515,,GPS - Manually Entered,,EPSG:4326,,,,,42.70818331,-113.6793833,,,POD,20B824,884990,,Groundwater,ID,
IDwr_S225516,,GPS - Manually Entered,,EPSG:4326,,,,,42.72116667,-113.6790667,,,POD,17A824,823798,,Groundwater,ID,
