WRID,culGeometry
11358,"POLYGON ((-113.449247500059 37.6035665701127, -113.449452744013 37.6035668136503, -113.449451609463 37.6041329325574, -113.450444912065 37.6038488072878, -113.451036023241 37.6035652824131, -113.451362463423 37.6033448384118, -113.452025422948 37.6034282908641, -113.452697921891 37.6039468810453, -113.453350990109 37.6047493693832, -113.453342620826 37.6058147785444, -113.454129355813 37.6060207220094, -113.454749474048 37.6064298200695, -113.454929739253 37.6070066709683, -113.446188465161 37.6069860748205, -113.446429031492 37.6062872983683, -113.446429004161 37.6061724037194, -113.446428996405 37.6058092448724, -113.445579208641 37.6058077638897, -113.444673418148 37.6057425555263, -113.444673394236 37.6051572660153, -113.441873874665 37.6051502859305, -113.441872803751 37.6046535096749, -113.441869806665 37.6032597784563, -113.441812031175 37.599519079361, -113.439847209768 37.5995050385644, -113.439787356661 37.5968516050292, -113.439765662993 37.5958894545642, -113.441374957749 37.5959022060594, -113.441395733641 37.5968183266206, -113.441414566492 37.5976541956184, -113.443679415796 37.5976770446955, -113.446131195529 37.5977016509851, -113.446178117387 37.5991720592544, -113.446203492658 37.5999708440262, -113.446224823304 37.6006392275537, -113.448954768222 37.6006504348148, -113.44896977753 37.6013808569304, -113.446248187471 37.6013696573533, -113.446317331314 37.6035629484224, -113.449247500059 37.6035665701127))"
11169,"POLYGON ((-113.193673750521 37.695863153562, -113.193637758782 37.7016018321479, -113.187952652165 37.7017075090863, -113.186102890895 37.7017422845759, -113.184746105711 37.7008132851063, -113.184673327451 37.6975696126313, -113.187059079622 37.6975730387247, -113.187035426305 37.6957494203482, -113.193673750521 37.695863153562))"
1195,"POLYGON ((-113.153274465969 37.7174750696673, -113.142860055323 37.7176649045942, -113.142777522383 37.7088943771728, -113.144230952479 37.7088679422924, -113.153024050613 37.7087076315884, -113.153274465969 37.7174750696673))"
11047,"POLYGON ((-113.103859521414 37.7438547287713, -113.097253436493 37.7439725070865, -113.097021030957 37.735738081209, -113.103628118907 37.7356815867127, -113.103859521414 37.7438547287713))"
11047,"POLYGON ((-113.090643535978 37.764921572756, -113.090545216699 37.7835974378578, -113.077104541575 37.7838361433768, -113.076918784443 37.777200464685, -113.087701718107 37.7770098334371, -113.087363335327 37.7649788424586, -113.087800163089 37.7649711010568, -113.087799053803 37.7649720218928, -113.090643535978 37.764921572756))"
11047,"POLYGON ((-113.092242804794 37.7752647892849, -113.100930581608 37.7751101469272, -113.100952843577 37.7758964729696, -113.101981396095 37.7759339946221, -113.101183245122 37.7794222523755, -113.101263387279 37.7842565066648, -113.093596233359 37.7844831651318, -113.093783199968 37.7911070557421, -113.091865027149 37.7911411426918, -113.092078202073 37.7786885659515, -113.092242804794 37.7752647892849))"
0,"POLYGON ((-111.000289325926 38.3417810689357, -111.000014688616 38.3359590719229, -111.006067610245 38.3355082958925, -111.006100645334 38.3337508788435, -111.0097529139 38.3338092126077, -111.00999299519 38.3323581978224, -111.018805239006 38.3317622983819, -111.019118007386 38.3376878916747, -111.011855453904 38.337846567208, -111.011690928581 38.3393877007279, -111.00762645662 38.3395097024852, -111.007445857305 38.3414383628339, -111.000289325926 38.3417810689357))"
11292,"POLYGON ((-112.29839035814 41.6707102519361, -112.302352051121 41.6707663002202, -112.302294602363 41.6697041355061, -112.305419522303 41.66966868032, -112.305570070764 41.675335017557, -112.298484928859 41.6754152941924, -112.29839035814 41.6707102519361))"
1346,"POLYGON ((-110.81175363912 39.5862354152181, -110.811931401987 39.5859554783933, -110.812365375158 39.5856678458792, -110.812444248278 39.5849201066344, -110.812389022904 39.5842397291298, -110.813051261081 39.5826369374691, -110.813514002332 39.5811644730734, -110.814333127874 39.5792195277787, -110.814584804495 39.5769718218239, -110.81494190225 39.5749180071958, -110.814810446408 39.5726877092394, -110.814599602336 39.570979890544, -110.814565946685 39.5691912596391, -110.81490872477 39.5676915633042, -110.814576830996 39.5655420371637, -110.814331462026 39.5636944984577, -110.814241039481 39.5618066592675, -110.81420092903 39.5598242897954, -110.815125082986 39.5589922940252, -110.816196736086 39.5591606876798, -110.816983108889 39.5598061780634, -110.81757813461 39.561068580714, -110.817554893582 39.5628300925734, -110.817588446531 39.5646863030174, -110.817614650111 39.5666821636137, -110.817277950904 39.5685513069612, -110.817077315793 39.5700287077576, -110.81781500325 39.5706425781337, -110.8195624582 39.5706768410693, -110.822209983498 39.5706719111098, -110.823814171566 39.5711924559083, -110.824261102738 39.5717112342654, -110.823934025495 39.5721387361627, -110.823145843263 39.5725835572204, -110.821583480032 39.5729956502758, -110.819531237935 39.5728393035667, -110.817784550961 39.5729356930162, -110.817287181154 39.5734620240003, -110.817192808932 39.5752594619827, -110.817268172341 39.5775977935645, -110.81688892259 39.5796831161037, -110.816389201274 39.582403482795, -110.8167411102 39.5849630042868, -110.816816833497 39.5867201595334, -110.815984300938 39.5880028315069, -110.815867668205 39.588070225023, -110.814617545712 39.587845679545, -110.81175363912 39.5862354152181))"
1015,"POLYGON ((-110.825766736256 39.6185722251055, -110.825703020041 39.6184279632857, -110.825512053975 39.6179230947412, -110.825156971012 39.616895376209, -110.82588214599 39.6166847210687, -110.826983414934 39.6165557156337, -110.828666976557 39.6165131586858, -110.829889075478 39.6169925053919, -110.830905232553 39.6173679201378, -110.831828415664 39.6176530875111, -110.832957223018 39.6181863291447, -110.834704048567 39.6189907524508, -110.836408409853 39.6200338649297, -110.838148121695 39.6214284066043, -110.839048329464 39.6226145230302, -110.839105128219 39.6227407470978, -110.838600755976 39.6226859851609, -110.837163345419 39.6240265264654, -110.836120637684 39.6239845135207, -110.83511239397 39.6236587130768, -110.833727152346 39.6226385653294, -110.83267641608 39.6220694024632, -110.831603352672 39.6215857963562, -110.830552649762 39.6210166142492, -110.829821351308 39.6203848181982, -110.828842172287 39.6196445278894, -110.827626957367 39.6191922117455, -110.82639208745 39.6186857911559, -110.825766736256 39.6185722251055))"
