,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
1374,,,TURKEY CREEK,GROUND WATER,Fresh,,
1375,,,SEVERE CREEK,GROUND WATER,Fresh,,
1376,,,FRICKE CREEK,GROUND WATER,Fresh,,
1377,,,PREACHER CREEK,GROUND WATER,Fresh,,
1378,,,PORTUGUESE CREEK,GROUND WATER,Fresh,,
1379,,,NORTHSIDE SLOUGH,GROUND WATER,Fresh,,
1380,,,WILD HORSE CREEK,GROUND WATER,Fresh,,
1381,,,DAUGHERTY CREEK,GROUND WATER,Fresh,,
1382,,,HONEY SPRING CANYON CREEK,GROUND WATER,Fresh,,
1383,,,ROBERTS DRAW CREEK,GROUND WATER,Fresh,,
1384,,,BURNT WILLOW CANYON CREEK,UNNAMED STREAM,Fresh,,
1385,,,COW CREEK RESERVOIR,SPRINGS,Fresh,,
1386,,,LIGHTNING CREEK,SPRING,Fresh,,
1387,,,ENID GULCH CREEK,UNNAMED STREAMS,Fresh,,
1388,,,WESTERNHOME GULCH CREEK,SHEEP CREEK,Fresh,,
1389,,,GLADIATOR CREEK,WILDHORSE RIVER,Fresh,,
1390,,,SOUTH CHERRY CREEK,ROCK CREEK,Fresh,,
1391,,,SENATE CREEK,GOAT CREEK,Fresh,,
1392,,,NEWMAN CREEK,GOAT CREEK,Fresh,,
1393,,,NORTON CREEK,GOAT CREEK,Fresh,,
1394,,,APOLLO CREEK,KELLY CREEK,Fresh,,
1395,,,BRODIE GULCH CREEK,BIG CREEK,Fresh,,
1396,,,ALDEN GULCH CREEK,AGENCY CREEK,Fresh,,
1397,,,MURDOCK CREEK,FERRY CREEK,Fresh,,
1398,,,HEADWATERS CANYON,SALMON RIVER,Fresh,,
1399,,,ROOKS CREEK,LITTLE SALMON RIVER,Fresh,,
1400,,,BARR GULCH CREEK,DUTCH OVEN CREEK,Fresh,,
1401,,,PLACER CREEK,TRAIL CREEK,Fresh,,
1402,,,CABIN GULCH CREEK,SPRINGS,Fresh,,
1403,,,PACKER GULCH CREEK,SPRING,Fresh,,
1404,,,TROUBLE CANYON CREEK,COTTONWOOD CREEK,Fresh,,
1405,,,STEEP GULCH CREEK,UNNAMED STREAM,Fresh,,
1406,,,IMPERIAL GULCH CREEK,AMERICAN RIVER,Fresh,,
1407,,,KINSEY CREEK,SPRINGS,Fresh,,
1408,,,CURRAN GULCH CREEK,WEBB CREEK,Fresh,,
1409,,,LICK GULCH CREEK,SPRINGS,Fresh,,
1410,,,LUPINE GULCH CREEK,SPRINGS,Fresh,,
1411,,,BUTTON CREEK,UNNAMED STREAM,Fresh,,
1412,,,PAYMASTER GULCH CREEK,UNNAMED STREAM,Fresh,,
1413,,,FOWLER GULCH CREEK,UNNAMED STREAM,Fresh,,
1414,,,SAWMILL GULCH CREEK,UNNAMED STREAM,Fresh,,
1415,,,GRAYS CREEK,ROSE CREEK,Fresh,,
1416,,,ASPEN GULCH CREEK,POND,Fresh,,
1417,,,POT CREEK,GROUND WATER,Fresh,,
1418,,,SLIDE CANYON CREEK,GROUND WATER,Fresh,,
1419,,,MANDOLIN CREEK,GROUND WATER,Fresh,,
1420,,,BUCKHORN CREEK,GROUND WATER,Fresh,,
1421,,,PASTURE CREEK,GROUND WATER,Fresh,,
1422,,,BURKS CREEK,GROUND WATER,Fresh,,
1423,,,LEMOYNE CREEK,GROUND WATER,Fresh,,
1424,,,PAINTER CREEK,GROUND WATER,Fresh,,
1425,,,PRUNTY CREEK,GROUND WATER,Fresh,,
1426,,,LANE CREEK,GROUND WATER,Fresh,,
1427,,,MUTUAL GULCH CREEK,GROUND WATER,Fresh,,
1428,,,KERF CREEK,SPRING,Fresh,,
1429,,,BLACKSPAR CANYON CREEK,ROCK CREEK,Fresh,,
1430,,,RAWSON CREEK,EIGHTMILE CREEK,Fresh,,
1431,,,BARON GULCH CREEK,EIGHTMILE CREEK,Fresh,,
1432,,,MANIECE CREEK,EIGHTMILE CREEK,Fresh,,
1433,,,ROAD CANYON,EIGHTMILE CREEK,Fresh,,
1434,,,CHALMPLAIN CREEK,EIGHTMILE CREEK,Fresh,,
1435,,,DOG CREEK,EIGHTMILE CREEK,Fresh,,
1436,,,MONTANA MINING DITCH,EIGHTMILE CREEK,Fresh,,
1437,,,CAIN CREEK,EIGHTMILE CREEK,Fresh,,
1438,,,LEDUC SPRINGS,EIGHTMILE CREEK,Fresh,,
1439,,,RILEY CANYON CREEK,EIGHTMILE CREEK,Fresh,,
1440,,,WATER GULCH CREEK,EIGHTMILE CREEK,Fresh,,
1441,,,VORBERG GULCH CREEK,EIGHTMILE CREEK,Fresh,,
1442,,,COLD SPRING,EIGHTMILE CREEK,Fresh,,
1443,,,LANES GULCH CREEK,EIGHTMILE CREEK,Fresh,,
1444,,,POISON HOLLOW CREEK,SNAKE RIVER,Fresh,,
1445,,,FIRST HOLLOW,COTTONWOOD CREEK,Fresh,,
1446,,,ASPEN CREEK,NORTH CANYON SPRINGS,Fresh,,
1447,,,ALMO CREEK,SHERIDAN CREEK,Fresh,,
1448,,,KELSAW CANYON CREEK,SPRING,Fresh,,
1449,,,WATERFALL CREEK,SHERIDAN CREEK,Fresh,,
1450,,,INDIAN FORK CREEK,GROUND WATER,Fresh,,
1451,,,SIX MILE CANYON CREEK,SHERIDAN CREEK,Fresh,,
1452,,,SOUTH HEGLAR CANYON CREEK,SHERIDAN CREEK,Fresh,,
1453,,,NEW CANYON CREEK,SHERIDAN CREEK,Fresh,,
1454,,,GREEN CREEK,SPRINGS,Fresh,,
1455,,,NEW CANYON SPRING,TRAIL CREEK,Fresh,,
1456,,,STINSON CREEK,TRAIL CREEK,Fresh,,
1457,,,POT HOLES,TRAIL CREEK,Fresh,,
1458,,,SUMMIT SPRINGS,TRAIL CREEK,Fresh,,
1459,,,VAN CAMP SPRING NO 4,TRAIL CREEK,Fresh,,
1460,,,LAKE FORK LAKE,TRAIL CREEK,Fresh,,
1461,,,CIRCLE CREEK,TRAIL CREEK,Fresh,,
1462,,,CHOKECHERRY CANYON CREEK,TRAIL CREEK,Fresh,,
1463,,,JONES HOLLOW CREEK,TRAIL CREEK,Fresh,,
1464,,,SIBLEY CREEK,TRAIL CREEK,Fresh,,
1465,,,NIBBS CREEK,TRAIL CREEK,Fresh,,
1466,,,BLACKSMITH CREEK,TRAIL CREEK,Fresh,,
1467,,,WOMACK CANYON CREEK,NORTH LEIGH CREEK,Fresh,,
1468,,,JIM SAGE CANYON CREEK,TRAIL CREEK,Fresh,,
1469,,,COE CREEK,TRAIL CREEK,Fresh,,
1470,,,STATION FORK,TRAIL CREEK,Fresh,,
1471,,,SCOTTIES CAMP SPRING,GROUND WATER,Fresh,,
1472,,,WEST SCOTTIES CAMP SPRING,GROUND WATER,Fresh,,
1473,,,ONEMILE CREEK,ROSS FORK CREEK,Fresh,,
1474,,,CALDER SPRING,REESE CREEK,Fresh,,
1475,,,DRY WASH,GROUND WATER,Fresh,,
1476,,,LITTLE CEDAR CANYON CREEK,GROUND WATER,Fresh,,
1477,,,SOUTH CARSON CREEK,GROUND WATER,Fresh,,
1478,,,GREEN PINE CREEK,GROUND WATER,Fresh,,
1479,,,NEW CREEK,GROUND WATER,Fresh,,
1480,,,BADGER GULCH SPRING,GROUND WATER,Fresh,,
1481,,,FLATIRON CREEK,GROUND WATER,Fresh,,
1482,,,BUCK CORRAL CREEK,GROUND WATER,Fresh,,
1483,,,RODEO CREEK,GROUND WATER,Fresh,,
1484,,,SOUTH COTTONWOOD CREEK,GROUND WATER,Fresh,,
1485,,,WALTERS CREEK,GROUND WATER,Fresh,,
1486,,,BIG CEDAR CANYON CREEK,GROUND WATER,Fresh,,
1487,,,ROBBER GULCH CREEK,COTTONWOOD CREEK,Fresh,,
1488,,,BIG COTTONWOOD CREEK,WEBBER CREEK,Fresh,,
1489,,,WHITE STUMP SPRING NO 1,WEBBER CREEK,Fresh,,
1490,,,CAVE CANYON CREEK,WEBBER CREEK,Fresh,,
1491,,,TERRELLS CORRAL CREEK,SQUAW CREEK,Fresh,,
1492,,,MEDLEY CREEK,DRY FORK CREEK,Fresh,,
1493,,,BEDKE SPRING,DRY FORK CREEK,Fresh,,
1494,,,MOUNTAIN MEADOW CREEK,DRY FORK CREEK,Fresh,,
1495,,,BROAD HOLLOW CREEK,DRY FORK CREEK,Fresh,,
1496,,,BILLYS HOLE CREEK,DRY FORK CREEK,Fresh,,
1497,,,JEFFS SPRING,DRY FORK CREEK,Fresh,,
1498,,,SWEDE SPRING,DRY FORK CREEK,Fresh,,
1499,,,CHALK SPRING,DRY FORK CREEK,Fresh,,
1500,,,SOUTH COTTONWOOD SPRING,DRY FORK CREEK,Fresh,,
1501,,,UPPER SQUAW CREEK SPRING,DRY FORK CREEK,Fresh,,
1502,,,NE CREEK,DRY FORK CREEK,Fresh,,
1503,,,DOMINION MINE SPRINGS,DRY FORK CREEK,Fresh,,
1504,,,MAGPIE SPRING,DRY FORK CREEK,Fresh,,
1505,,,TUNNEL HILL SPRING,DRY FORK CREEK,Fresh,,
1506,,,U C SPRING,DRY FORK CREEK,Fresh,,
1507,,,DIERKES LAKE,GROUND WATER,Fresh,,
1508,,,WAHLSTROM HOLLOW CREEK,GROUND WATER,Fresh,,
1509,,,SECRET CREEK,THOUSAND SPRINGS,Fresh,,
1510,,,NARROWS CREEK,WEST FORK CORRAL CREEK,Fresh,,
1511,,,SOUTH HANNAHS FORK,SPRING CREEK,Fresh,,
1512,,,EAGLE SPRING CREEK,FISH CREEK,Fresh,,
1513,,,PLAYER CREEK,GROUND WATER,Fresh,,
1514,,,CHINA CREEK,SPRING,Fresh,,
1515,,,MONUMENT SPRINGS,ROCK CREEK,Fresh,,
1516,,,CAMAS SLOUGH,ROCK CREEK,Fresh,,
1517,,,YAHOO CREEK,LAKE CREEK,Fresh,,
1518,,,RINGS SPRINGS,GROUND WATER,Fresh,,
1519,,,WHISKEY SLOUGH,GROUND WATER,Fresh,,
1520,,,LITTLE GOOSE CREEK,GROUND WATER,Fresh,,
1521,,,SHIP CORRAL SPRING,GROUND WATER,Fresh,,
1522,,,HUMPHREY CREEK,UNNAMED STREAM,Fresh,,
1523,,,RUBY GULCH CREEK,LITTLE ROCKY CREEK,Fresh,,
1524,,,BEAR HOLLOW CREEK,SPRINGS,Fresh,,
1525,,,WINECUP CREEK,LITTLE ROCKY CREEK,Fresh,,
1526,,,ELISON HOLE CREEK,GROUND WATER,Fresh,,
1527,,,PALMER CREEK,GROUND WATER,Fresh,,
1528,,,NORTH COTTONWOOD CREEK,GROUND WATER,Fresh,,
1529,,,BEATTY CREEK,GROUND WATER,Fresh,,
1530,,,A H CREEK,GROUND WATER,Fresh,,
1531,,,WOODEN SHOE CREEK,GROUND WATER,Fresh,,
1532,,,GROUSE CREEK SPRING,GROUND WATER,Fresh,,
1533,,,HARRINGTON FORK,GROUND WATER,Fresh,,
1534,,,MARTINDALE FORK,GROUND WATER,Fresh,,
1535,,,COTTON CREEK,GROUND WATER,Fresh,,
1536,,,TELEPHONE CANYON CREEK,GROUND WATER,Fresh,,
1537,,,TRAIL CANYON CREEK,GROUND WATER,Fresh,,
1538,,,MAGIC HOT SPRINGS,GROUND WATER,Fresh,,
1539,,,DESERT CREEK,GROUND WATER,Fresh,,
1540,,,ROGERSON SPRING,GROUND WATER,Fresh,,
1541,,,NORTH WILLOW SPRINGS,GROUND WATER,Fresh,,
1542,,,LQ COULEE,GROUND WATER,Fresh,,
1543,,,WICKAHONEY CREEK,GROUND WATER,Fresh,,
1544,,,BIG JACKS CREEK,GROUND WATER,Fresh,,
1545,,,DUNCAN CREEK,GROUND WATER,Fresh,,
1546,,,DEAD HORSE SPRING,GROUND WATER,Fresh,,
1547,,,HEIFER SPRINGS CREEK,SPRINGS,Fresh,,
1548,,,WILLIES CREEK,GROUND WATER,Fresh,,
1549,,,ZENO CANYON SPRING,SPRINGS,Fresh,,
1550,,,PRONG CREEK,COMBINATION CREEK,Fresh,,
1551,,,BLACK LEG CREEK,PLAYA,Fresh,,
1552,,,NIT CREEK,SPRING,Fresh,,
1553,,,AXE CREEK,BOWNS CREEK,Fresh,,
1554,,,ROSS PASTURE CREEK,GROUND WATER,Fresh,,
1555,,,JARBIDGE RIVER,SPRINGS,Fresh,,
1556,,,DORSEY CREEK,SPRINGS,Fresh,,
1557,,,SAILOR CREEK,GROUND WATER,Fresh,,
1558,,,POT HOLE CREEK,GROUND WATER,Fresh,,
1559,,,DEER GULCH CREEK,GROUND WATER,Fresh,,
1560,,,BIG PILGRIM GULCH CREEK,GROUND WATER,Fresh,,
1561,,,HAYS CANYON CREEK,GROUND WATER,Fresh,,
1562,,,HEIFER SPRINGS,GROUND WATER,Fresh,,
1563,,,CRAWFISH SPRING,GROUND WATER,Fresh,,
1564,,,SAGE HEN GULCH CREEK,GROUND WATER,Fresh,,
1565,,,JACOBS GULCH CREEK,GROUND WATER,Fresh,,
1566,,,STONEHOUSE CREEK,GROUND WATER,Fresh,,
1567,,,SPLIT ROCK CANYON CREEK,GROUND WATER,Fresh,,
1568,,,CRAB SPRING,GROUND WATER,Fresh,,
1569,,,JOSEPHINE CREEK,GROUND WATER,Fresh,,
1570,,,SCHOOLHOUSE GULCH CREEK,GROUND WATER,Fresh,,
1571,,,HURRY BACK  CREEK,GROUND WATER,Fresh,,
1572,,,POLE BRIDGE CREEK,GROUND WATER,Fresh,,
1573,,,WILSON CREEK,GROUND WATER,Fresh,,
1574,,,RAIL CREEK,LITTLE SMOKY CREEK,Fresh,,
1575,,,HELLS CREEK,SPRINGS,Fresh,,
1576,,,PEACH CREEK,UNNAMED STREAM,Fresh,,
1577,,,STONEMAN CREEK,UNNAMED STREAM,Fresh,,
1578,,,NICKEL CREEK,UNNAMED STREAM,Fresh,,
1579,,,DONS CREEK,LITTLE WILLOW CREEK,Fresh,,
1580,,,CURRENT CREEK,UNNAMED STREAM,Fresh,,
1581,,,SUMMIT SPRINGS CREEK,LITTLE WILLOW CREEK,Fresh,,
1582,,,BULL BASIN CREEK,SPRINGS,Fresh,,
1583,,,PETES CREEK,UNNAMED STREAMS,Fresh,,
1584,,,RED CANYON CREEK,SPRING,Fresh,,
1585,,,LITTLE OWYHEE RIVER,SPRING,Fresh,,
1586,,,PRESBY CREEK,SPRING,Fresh,,
1587,,,BOGUS CREEK,LITTLE ROCK CREEK,Fresh,,
1588,,,SOUTH BOULDER CREEK,SPRINGS,Fresh,,
1589,,,GLASS GULCH CREEK,LONG GULCH CREEK,Fresh,,
1590,,,STOVE CREEK,STANLEY CREEK,Fresh,,
1591,,,ASTOR GULCH CREEK,BIG HAZARD LAKE,Fresh,,
1592,,,HARD UP GULCH CREEK,SPRING,Fresh,,
1593,,,DITCH CREEK,UNNAMED STREAMS,Fresh,,
1594,,,LITTLE COW CREEK,UNNAMED STREAM,Fresh,,
1595,,,WASHINGTON GULCH CREEK,SPRINGS,Fresh,,
1596,,,NIP AND TUCK CREEK,SPRING,Fresh,,
1597,,,LITTLE SAWMILL CREEK,HANGMAN CREEK,Fresh,,
1598,,,BIG SAWMILL CREEK,SNAKE RIVER,Fresh,,
1599,,,CORRAL GULCH CREEK,SNAKE RIVER,Fresh,,
1600,,,DICKSHOOTER CREEK,SNAKE RIVER,Fresh,,
1601,,,YATAHONEY CREEK,SNAKE RIVER,Fresh,,
1602,,,MOORCASTLE CREEK,GROUND WATER,Fresh,,
1603,,,MOORCASTLE SPRINGS,GROUND WATER,Fresh,,
1604,,,CAMEL CREEK,UNNAMED STREAM,Fresh,,
1605,,,TURNER SPRING,SNAKE RIVER,Fresh,,
1606,,,HARDISTY RESERVOIR,SNAKE RIVER,Fresh,,
1607,,,OLD MAN CREEK,SNAKE RIVER,Fresh,,
1608,,,BATES CREEK,GROUND WATER,Fresh,,
1609,,,HART CREEK,GROUND WATER,Fresh,,
1610,,,LITTLE SUCCOR CREEK,SNAKE RIVER,Fresh,,
1611,,,COW VALLEY CREEK,DAVIS CREEK,Fresh,,
1612,,,PICKETT CREEK,UNNAMED STREAM,Fresh,,
1613,,,COSMOPOLITAN CREEK,SNAKE RIVER,Fresh,,
1614,,,STOBIE GULCH CREEK,SNAKE RIVER,Fresh,,
1615,,,SCOTCH BOB CREEK,DAVIS CREEK,Fresh,,
1616,,,OROFINO GULCH CREEK,MEADOW CREEK,Fresh,,
1617,,,PEDRACINI FORK,NORTH LEIGH CREEK,Fresh,,
1618,,,RABBIT CREEK,NORTH LEIGH CREEK,Fresh,,
1619,,,WEST RABBIT CREEK,TRAIL CREEK,Fresh,,
1620,,,DRYDEN CREEK,TRAIL CREEK,Fresh,,
1621,,,PETERS GULCH CREEK,TRAIL CREEK,Fresh,,
1622,,,COTTLE CREEK,TRAIL CREEK,Fresh,,
1623,,,LITTLE HARDTRIGGER CREEK,TRAIL CREEK,Fresh,,
1624,,,BABBINGTON CREEK,NORTH LEIGH CREEK,Fresh,,
1625,,,RESERVATION GULCH CREEK,NORTH LEIGH CREEK,Fresh,,
1626,,,GAMBLE GULCH CREEK,NORTH LEIGH CREEK,Fresh,,
1627,,,PIXLEY CREEK,NORTH LEIGH CREEK,Fresh,,
1628,,,LONE JUNIPER CREEK,TRAIL CREEK,Fresh,,
1629,,,WEST SPRING CREEK,TRAIL CREEK,Fresh,,
1630,,,HORSE THIEF CREEK,NORTH LEIGH CREEK,Fresh,,
1631,,,CATHERINE CREEK,INDIAN CREEK,Fresh,,
1632,,,TWENTYMILE CREEK,GROUND WATER,Fresh,,
1633,,,CORDER CREEK,TEX CREEK,Fresh,,
1634,,,DITTO CREEK,HENRY CREEK,Fresh,,
1635,,,PARADISE CREEK,GROUND WATER,Fresh,,
1636,,,CROWN CREEK,GROUND WATER,Fresh,,
1637,,,SYRUP CREEK,GROUND WATER,Fresh,,
1638,,,ALKALI CREEK,GROUND WATER,Fresh,,
1639,,,DIVE CREEK,GROUND WATER,Fresh,,
1640,,,WASTE DITCH,GROUND WATER,Fresh,,
1641,,,RUBY DRAIN,GROUND WATER,Fresh,,
1642,,,LESTER CREEK,GROUND WATER,Fresh,,
1643,,,RIDENBAUGH DRAIN,GROUND WATER,Fresh,,
1644,,,PIPE GULCH CREEK,GROUND WATER,Fresh,,
1645,,,TOLLGATE CREEK,GROUND WATER,Fresh,,
1646,,,MASON CREEK,GROUND WATER,Fresh,,
1647,,,WILSON SLOUGH,GROUND WATER,Fresh,,
1648,,,BOILER GRADE CREEK,UNNAMED STREAMS,Fresh,,
1649,,,ALTA CREEK,SPRINGS,Fresh,,
1650,,,STEEL CREEK,BANNOCK CREEK,Fresh,,
1651,,,PINTO CREEK,MILL CREEK,Fresh,,
1652,,,SNAKE CREEK,TWO AND A HALF MILE CREEK,Fresh,,
1653,,,CAYUSE CREEK,GROUND WATER,Fresh,,
1654,,,LITTLE CAYUSE CREEK,BANNOCK CREEK,Fresh,,
1655,,,JOHNSON FORK,GROUND WATER,Fresh,,
1656,,,WHISKEY JACK CREEK,GROUND WATER,Fresh,,
1657,,,TRINITY CREEK,EAST CAMAS CREEK,Fresh,,
1658,,,RAINBOW CREEK,SAW CREEK,Fresh,,
1659,,,WEST PARKS CREEK,ROCK LAKES,Fresh,,
1660,,,MIDDLE PARKS CREEK,DRY CREEK,Fresh,,
1661,,,HONEY CREEK,WEST CAMAS CREEK,Fresh,,
1662,,,SLICKEAR CREEK,WEST CAMAS CREEK,Fresh,,
1663,,,LIME CREEK,WEST CAMAS CREEK,Fresh,,
1664,,,FAIRVIEW CREEK,WEST CAMAS CREEK,Fresh,,
1665,,,WAGONTOWN CREEK,WEST CAMAS CREEK,Fresh,,
1666,,,TOWNE CREEK,MEDICINE LODGE CREEK,Fresh,,
1667,,,PACKER CREEK,MEDICINE LODGE CREEK,Fresh,,
1668,,,WINDY CREEK,BIG SPRING CREEK,Fresh,,
1669,,,BEAR HOLE CREEK,SPRINGS,Fresh,,
1670,,,NO NAME CREEK,SPRINGS,Fresh,,
1671,,,TALLY CREEK,SOUTH CREEK,Fresh,,
1672,,,MYRTLE CREEK,SPRINGS,Fresh,,
1673,,,CASTLE ROCK CREEK,THOUSAND SPRINGS,Fresh,,
1674,,,EVANS CREEK,THOUSAND SPRINGS,Fresh,,
1675,,,PIERCE CREEK,TIMBERED DOME CREEK,Fresh,,
1676,,,WASHBOARD CREEK,GROUND WATER,Fresh,,
1677,,,ADEN CREEK,GROUND WATER,Fresh,,
1678,,,DIXIE CREEK,GROUND WATER,Fresh,,
1679,,,MENNECKE CREEK,GROUND WATER,Fresh,,
1680,,,BOCK CREEK,GROUND WATER,Fresh,,
1681,,,LITTLE RATTLESNAKE CREEK,GROUND WATER,Fresh,,
1682,,,SOAP CREEK,GROUND WATER,Fresh,,
1683,,,WOODTICK CREEK,GROUND WATER,Fresh,,
1684,,,BENDER CREEK,GROUND WATER,Fresh,,
1685,,,HUTTON CREEK,GROUND WATER,Fresh,,
1686,,,YUBA RIVER,GROUND WATER,Fresh,,
1687,,,CORBUS CREEK,GROUND WATER,Fresh,,
1688,,,BURGY CREEK,GROUND WATER,Fresh,,
1689,,,CHINA FORK,GROUND WATER,Fresh,,
1690,,,QUEENS RIVER,GROUND WATER,Fresh,,
1691,,,LITTLE QUEENS RIVER,GROUND WATER,Fresh,,
1692,,,STEEP CREEK,GROUND WATER,Fresh,,
1693,,,SNYDER CREEK,SPRINGS,Fresh,,
1694,,,BLACK WARRIOR CREEK,UNNAMED STREAM,Fresh,,
1695,,,WEST WARRIOR CREEK,UNNAMED STREAM,Fresh,,
1696,,,STEPPE CREEK,POLE CANYON CREEK,Fresh,,
1697,,,FLY CREEK,GROUND WATER,Fresh,,
1698,,,SWANHOLM CREEK,LAKE CREEK,Fresh,,
1699,,,JAMES CREEK,INDIAN CREEK,Fresh,,
1700,,,BALD MOUNTAIN CREEK,MALAD RIVER,Fresh,,
1701,,,PHIFER CREEK,GROUND WATER,Fresh,,
1702,,,LOST MAN CREEK,GROUND WATER,Fresh,,
1703,,,PITCH CREEK,GROUND WATER,Fresh,,
1704,,,CINCH CREEK,GROUND WATER,Fresh,,
1705,,,DUTCH CREEK,QUAKING ASP CREEK,Fresh,,
1706,,,ROARING RIVER,GROUND WATER,Fresh,,
1707,,,ROAD CREEK,GROUND WATER,Fresh,,
1708,,,POOL CREEK,GROUND WATER,Fresh,,
1709,,,NINEMEYER CREEK,GROUND WATER,Fresh,,
1710,,,BREADWINNER CREEK,GROUND WATER,Fresh,,
1711,,,BAYHORSE CREEK,GROUND WATER,Fresh,,
1712,,,BIG SILVER CREEK,GROUND WATER,Fresh,,
1713,,,BOW CREEK,GROUND WATER,Fresh,,
1714,,,MC DONALD CREEK,GROUND WATER,Fresh,,
1715,,,ROBIN CREEK,GROUND WATER,Fresh,,
1716,,,CUB CREEK,GROUND WATER,Fresh,,
1717,,,ROCKEY CREEK,GROUND WATER,Fresh,,
1718,,,LOUISE CREEK,GROUND WATER,Fresh,,
1719,,,STEAMBOAT CREEK,GROUND WATER,Fresh,,
1720,,,MC NUTT CREEK,GROUND WATER,Fresh,,
1721,,,HUNTER CREEK,GROUND WATER,Fresh,,
1722,,,LODGEPOLE CREEK,GROUND WATER,Fresh,,
1723,,,BLUE JAY CREEK,TRAPPER CREEK,Fresh,,
1724,,,HORSEFLY CREEK,SUMMIT STATION CREEK,Fresh,,
1725,,,HORSE HEAVEN CREEK,DRY CREEK,Fresh,,
1726,,,ROBERT E LEE CREEK,SUMMIT CREEK,Fresh,,
1727,,,WREN CREEK,JARVIS SPRING,Fresh,,
1728,,,DON CREEK,GROUND WATER,Fresh,,
1729,,,FIRE CREEK,GROUND WATER,Fresh,,
1730,,,CROOKED RIVER,TROUT CREEK,Fresh,,
1731,,,SHONIP CREEK,OWENS CORRAL CREEK,Fresh,,
1732,,,SPOUT CREEK,GROUND WATER,Fresh,,
1733,,,PIKES FORK,GROUND WATER,Fresh,,
1734,,,GOLD FORK CREEK,GROUND WATER,Fresh,,
1735,,,EDNA CREEK,GROUND WATER,Fresh,,
1736,,,WHOOP UM UP CREEK,GROUND WATER,Fresh,,
1737,,,LAMAR CREEK,GROUND WATER,Fresh,,
1738,,,ABBY CREEK,GROUND WATER,Fresh,,
1739,,,GOTCH CREEK,GROUND WATER,Fresh,,
1740,,,SUNSET CREEK,GROUND WATER,Fresh,,
1741,,,SKI CREEK,GROUND WATER,Fresh,,
1742,,,LITTLE OWL CREEK,GROUND WATER,Fresh,,
1743,,,BIG OWL CREEK,GROUND WATER,Fresh,,
1744,,,LOST OWL CREEK,GROUND WATER,Fresh,,
1745,,,HUNGARIAN CREEK,GROUND WATER,Fresh,,
1746,,,SACRIFICE CREEK,GROUND WATER,Fresh,,
1747,,,TIN CUP CREEK,GROUND WATER,Fresh,,
1748,,,FIRST CREEK,GROUND WATER,Fresh,,
1749,,,THIRD CREEK,GROUND WATER,Fresh,,
1750,,,FOURTH CREEK,GROUND WATER,Fresh,,
1751,,,GERMAN CREEK,GROUND WATER,Fresh,,
1752,,,SHORT CREEK,GROUND WATER,Fresh,,
1753,,,HOOTON CREEK,GROUND WATER,Fresh,,
1754,,,HAY FORK CREEK,GROUND WATER,Fresh,,
1755,,,MORES CREEK,GROUND WATER,Fresh,,
1756,,,TWELVEMILE CREEK,GROUND WATER,Fresh,,
1757,,,BAD BEAR CREEK,GROUND WATER,Fresh,,
1758,,,MINNEHA CREEK,GROUND WATER,Fresh,,
1759,,,MILK RANCH GULCH CREEK,GROUND WATER,Fresh,,
1760,,,ROCKY GULCH CREEK,GROUND WATER,Fresh,,
1761,,,WHITECAP CREEK,GROUND WATER,Fresh,,
1762,,,LITTLE MUDDY CREEK,GROUND WATER,Fresh,,
1763,,,BUCKSKIN CREEK,GROUND WATER,Fresh,,
1764,,,OPHIR CREEK,GROUND WATER,Fresh,,
1765,,,WOOF CREEK,GROUND WATER,Fresh,,
1766,,,MANHATTAN CREEK,GROUND WATER,Fresh,,
1767,,,HAGA CREEK,GROUND WATER,Fresh,,
1768,,,LOGGING GULCH CREEK,GROUND WATER,Fresh,,
1769,,,LAMBING CREEK,GROUND WATER,Fresh,,
1770,,,NEVINS CREEK,GROUND WATER,Fresh,,
1771,,,NIBBLER CREEK,GROUND WATER,Fresh,,
1772,,,BASKET SPRINGS CREEK,GROUND WATER,Fresh,,
1773,,,RED ROCK CREEK,GROUND WATER,Fresh,,
1774,,,STOVEPIPE CREEK,GROUND WATER,Fresh,,
1775,,,BLACKHORSE CREEK,GROUND WATER,Fresh,,
1776,,,CARRIE CREEK,GROUND WATER,Fresh,,
1777,,,BASALT CREEK,GROUND WATER,Fresh,,
1778,,,TYRANNIS CREEK,GROUND WATER,Fresh,,
1779,,,KING OF WEST CREEK,GROUND WATER,Fresh,,
1780,,,CANNONBALL CREEK,GROUND WATER,Fresh,,
1781,,,LIBERAL CREEK,GROUND WATER,Fresh,,
1782,,,BARLOW CREEK,GROUND WATER,Fresh,,
1783,,,SKILLERN CREEK,GROUND WATER,Fresh,,
1784,,,BIG PEAK CREEK,GROUND WATER,Fresh,,
1785,,,BLUFF CREEK,GROUND WATER,Fresh,,
1786,,,NARROW CREEK,GROUND WATER,Fresh,,
1787,,,SNOWSLIDE CREEK,GROUND WATER,Fresh,,
1788,,,PINYON GULCH CREEK,GROUND WATER,Fresh,,
1789,,,HELEN CREEK,GROUND WATER,Fresh,,
1790,,,ROYAL GORGE CREEK,GROUND WATER,Fresh,,
1791,,,LOGGY CREEK,GROUND WATER,Fresh,,
1792,,,JONES GULCH CREEK,GROUND WATER,Fresh,,
1793,,,HEADQUARTERS CAMP CREEK,GROUND WATER,Fresh,,
1794,,,ROSS FORK,GROUND WATER,Fresh,,
