,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
103,,,EAST FORK CORRAL CREEK,GROUND WATER,Fresh,,
104,,,SPRING CREEK,GROUND WATER,Fresh,,
105,,,COW CREEK,GROUND WATER,Fresh,,
106,,,LITTLE JACKSON CREEK,GROUND WATER,Fresh,,
107,,,PAYNE CREEK,GROUND WATER,Fresh,,
108,,,RATTLESNAKE CREEK,GROUND WATER,Fresh,,
109,,,CABIN CREEK,SPRINGS,Fresh,,
110,,,MANN CREEK,UNNAMED STREAM,Fresh,,
111,,,MILL CREEK ,TRAIL CREEK,Fresh,,
112,,,RACE CREEK,ROCK CREEK,Fresh,,
113,,,MEADOW CREEK,CORRAL CREEK,Fresh,,
114,,,LAWYER CREEK,GROUND WATER,Fresh,,
115,,,MONTPELIER CREEK,GROUND WATER,Fresh,,
116,,,CUB RIVER,UNNAMED STREAMS,Fresh,,
117,,,SHERIDAN CREEK,SPRINGS,Fresh,,
118,,,HOTEL CREEK,GROUND WATER,Fresh,,
119,,,GRIZZLY SPRING,UNNAMED STREAM,Fresh,,
120,,,THREEMILE CREEK,CALDWELL DRAW CREEK,Fresh,,
121,,,CAMAS CREEK,BADGER CREEK,Fresh,,
122,,,HOUSE CREEK,BADGER CREEK,Fresh,,
123,,,IRON MINE CREEK,BADGER CREEK,Fresh,,
124,,,SHOOFLY CREEK,SPRINGS,Fresh,,
125,,,SINKER CREEK,SALMON RIVER,Fresh,,
126,,,FOSSIL CREEK,UNNAMED STREAMS,Fresh,,
127,,,UNNAMED DRAIN,JOBE CREEK,Fresh,,
128,,,JENKINS CREEK,GROUND WATER,Fresh,,
129,,,POLE CREEK,GROUND WATER,Fresh,,
130,,,DIVIDE CREEK,GROUND WATER,Fresh,,
131,,,KILLARNEY LAKE,GROUND WATER,Fresh,,
132,,,LAMB CREEK,GROUND WATER,Fresh,,
133,,,MC PHERSON CANYON SPRING,GROUND WATER,Fresh,,
134,,,PINE CREEK,GROUND WATER,Fresh,,
