VariableSpecificUUID,AggregationInterval,AggregationIntervalUnitCV,AggregationStatisticCV,AmountUnitCV,MaximumAmountUnitCV,ReportYearStartMonth,ReportYearTypeCV,VariableCV,VariableSpecificCV
NE_Annual Groundwater Supply,1,Year,Cumulative,AFY,AFY,10,CalendarYear,Supply,Annual Groundwater Supply
NE_Annual Surface Water Supply,1,Year,Cumulative,AFY,AFY,10,CalendarYear,Supply,Annual Surface Water Supply
NE_Annual Groundwater Demand,1,Year,Cumulative,AFY,AFY,10,CalendarYear,Demand,Annual Groundwater Demand
NE_Annual Surface Water Demand,1,Year,Cumulative,AFY,AFY,10,CalendarYear,Demand,Annual Surface Water Demand
NE_Total Non-Consumptive Demand,1,Year,Cumulative,AFY,AFY,10,CalendarYear,Demand,Total Non-Consumptive Demand
NE_Net Surface Water Loss Demand,1,Year,Cumulative,AFY,AFY,10,CalendarYear,Demand,Net Surface Water Loss Demand
