WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
NEag_WS1,,,Fresh,Unspecified,WaDENE_WS1,Groundwater
NEag_WS2,,,Fresh,Unspecified,WaDENE_WS2,Surface Water
NEag_WS3,,,Fresh,Unspecified,WaDENE_WS3,Surface and Groundwater
