WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
UT_107,,,Fresh,Artesian Well,,Groundwater/all
UT_108,,,Fresh,Red Spring,,Unknown
UT_109,,,Fresh,Horse Trap Well,,Groundwater/all
UT_110,,,Fresh,Agate Wash,,Unknown
UT_111,,,Fresh,Meaker Winter Camp Wash Spring,,Unknown
UT_112,,,Fresh,Auger Spring,,Unknown
UT_113,,,Fresh,Winter Camp Draw,,Unknown
UT_114,,,Fresh,Bryson Wash,,Unknown
UT_115,,,Fresh,Calf Canyon Wash,,Unknown
UT_116,,,Fresh,Unnamed Artesian Well,,Groundwater/all
UT_117,,,Fresh,Meaker Wintercamp Wash Spring #1,,Unknown
UT_118,,,Fresh,Lipiquine Spring,,Unknown
UT_119,,,Fresh,Hillside Seep,,Unknown
UT_120,,,Fresh,Burro Seep,,Unknown
UT_121,,,Fresh,Dolores River,,Surface Water
UT_122,,,Fresh,Kirk Spring,,Surface Water
UT_123,,,Fresh,Lackey Creek,,Surface Water
UT_124,,,Fresh,3 Unnamed Springs,,Surface Water
UT_125,,,Fresh,Underground Water Well,,Abandoned
UT_126,,,Fresh,Underground Water Wells (2),,Groundwater/all
UT_127,,,Fresh,Unnamed Springs & Jackson Reservoir,,Surface Water
UT_128,,,Fresh,Unnamed Springs & Jackson Reservoir,,Point of Rediversion
UT_129,,,Fresh,Mill Creek,,Surface Water
UT_130,,,Fresh,Dolores River,,Point of Return
UT_131,,,Fresh,Underground Water Wells,,Groundwater/all
UT_132,,,Fresh,Underground Water Tunnel,,Groundwater/all
UT_133,,,Fresh,East Canyon Wash,,Unknown
UT_134,,,Fresh,Vicki`s Spring and Well,,Abandoned
UT_135,,,Fresh,Vicki`s Spring and Well,,Surface Water
UT_136,,,Fresh,Stewart Spring,,Surface Water
UT_137,,,Fresh,Underground Water Wells (7),,Groundwater/all
UT_138,,,Fresh,"Underground Water, Sump",,Groundwater/all
UT_139,,,Fresh,Moab Sewage Treatment Plant,,Surface Water
UT_140,,,Fresh,Taylor Spring,,Surface Water
UT_141,,,Fresh,Pack Creek & Underground Water Well,,Groundwater/all
UT_142,,,Fresh,UNderground Water Well,,Groundwater/all
UT_143,,,Fresh,Colorado River & Mill Creek,,Surface Water
UT_144,,,Fresh,Peters Spring,,Surface Water
UT_145,,,Fresh,Mill Creek,,Point of Rediversion
UT_146,,,Fresh,3 Unnamed Springs,,Point of Rediversion
UT_147,,,Fresh,2 Unnamed Springs,,Surface Water
UT_148,,,Fresh,LaSal Creek,,Surface Water
UT_149,,,Fresh,Trough Flats Seep,,Surface Water
UT_150,,,Fresh,Trough Spring #1,,Surface Water
UT_151,,,Fresh,East Coyote Well #3,,Groundwater/all
UT_152,,,Fresh,Spring Canyon Creek,,Unknown
UT_153,,,Fresh,Sawmill Spring #2,,Surface Water
UT_154,,,Fresh,Sawmill Spring #1,,Surface Water
UT_155,,,Fresh,Lloyd Somerville Spring,,Surface Water
UT_156,,,Fresh,Section 32 Springs,,Surface Water
UT_157,,,Fresh,Basin Draw,,Surface Water
UT_158,,,Fresh,.,,Unknown
UT_159,,,Fresh,Big Bend Spring,,Surface Water
UT_160,,,Fresh,Fur-Water,,Surface Water
UT_161,,,Fresh,Little Spring,,Surface Water
UT_162,,,Fresh,East Canyon Well #3,,Groundwater/all
UT_163,,,Fresh,Undergroud Water Well,,Groundwater/all
UT_164,,,Fresh,Little Taylor Creek & Taylor Creek,,Surface Water
UT_165,,,Fresh,Sop Spring,,Surface Water
UT_166,,,Fresh,Dillon Tunnel,,Surface Water
UT_167,,,Fresh,Cottonwood Canyon Runoff,,Surface Water
UT_168,,,Fresh,Buck Hollow Runoff,,Surface Water
UT_169,,,Fresh,unnamed streams,,Surface Water
UT_170,,,Fresh,South Fork Mill Creek,,Point of Return
UT_171,,,Fresh,South Fork Mill Creek,,Surface Water
UT_172,,,Fresh,Underground water well,,Groundwater/all
UT_173,,,Fresh,Bill McClure Spring,,Surface Water
UT_174,,,Fresh,Lisbon Spring,,Unknown
UT_175,,,Fresh,Stinking Spring,,Unknown
UT_176,,,Fresh,Taylor Creek & Little Taylor Creek,,Surface Water
UT_177,,,Fresh,Taylor Creek & Little Taylor Creek,,Point of Rediversion
UT_178,,,Fresh,Lackey Spring,,Surface Water
UT_179,,,Fresh,Unnamed Spring Area,,Surface Water
UT_180,,,Fresh,Surface Spring,,Surface Water
UT_181,,,Fresh,Underground Water Drain,,Groundwater/all
UT_182,,,Fresh,(6) Underground Water Wells,,Groundwater/all
UT_183,,,Fresh,"Beaver Creek, Sump, Surface Runoff & Unnamed Strm",,Surface Water
UT_184,,,Fresh,"Beaver Creek, Sump, Surface Runoff & Unnamed Strm",,Groundwater/all
UT_185,,,Fresh,Underground Water Well (5),,Groundwater/all
UT_186,,,Fresh,unnamed stream,,Surface Water
UT_187,,,Fresh,East Coyote Wash,,Surface Water
UT_188,,,Fresh,West Coyote Wash,,Surface Water
UT_189,,,Fresh,West Coyote Creek,,Surface Water
UT_190,,,Fresh,unnamed spring,,Surface Water
UT_191,,,Fresh,Wiz Spring,,Surface Water
UT_192,,,Fresh,Unnamed Springs,,Surface Water
UT_193,,,Fresh,Undgerground Water Well,,Groundwater/all
UT_194,,,Fresh,Castle Creek,,Surface Water
UT_195,,,Fresh,Beaver Creek,,Surface Water
UT_196,,,Fresh,Beaver Creek,,Point of Rediversion
UT_197,,,Fresh,Turner Spring,,Surface Water
UT_198,,,Fresh,Placer Creek,,Surface Water
UT_199,,,Fresh,Joe Romero Spring #2,,Surface Water
UT_200,,,Fresh,(5) Underground Water Wells,,Groundwater/all
UT_201,,,Fresh,Unnamed Springs (3),,Surface Water
UT_202,,,Fresh,Rattlesnake Creek,,Surface Water
UT_203,,,Fresh,Unnamed Dry Wash,,Surface Water
UT_204,,,Fresh,Unnamed Seeps & Springs,,Surface Water
UT_205,,,Fresh,Deer Creek Spring,,Surface Water
UT_206,,,Fresh,Jordon Spring Number One,,Surface Water
UT_207,,,Fresh,6 Underground Water Wells,,Groundwater/all
UT_208,,,Fresh,Bell Spring,,Surface Water
UT_209,,,Fresh,Pack Creek,,Surface Water
UT_210,,,Fresh,Professor Creek,,Surface Water
UT_211,,,Fresh,Professor Creek,,Point of Rediversion
UT_212,,,Fresh,Campers` Spring,,Surface Water
UT_213,,,Fresh,Silver Holyoak Spring,,Surface Water
UT_214,,,Fresh,Rattlesnake Spring,,Surface Water
UT_215,,,Fresh,Castle Creek and Springs,,Surface Water
UT_216,,,Fresh,"Underground Well, Unnamed Streams and Beaver Creek",,Point of Rediversion
UT_217,,,Fresh,"Underground Well, Unnamed Streams and Beaver Creek",,Surface Water
UT_218,,,Fresh,"Underground Well, Unnamed Streams and Beaver Creek",,Groundwater/all
UT_219,,,Fresh,Jimmie Keen Spring,,Surface Water
UT_220,,,Fresh,Brumley Ridge Spring,,Surface Water
UT_221,,,Fresh,Upper Pinhook Spring,,Surface Water
UT_222,,,Fresh,Long Draw,,Surface Water
UT_223,,,Fresh,Beaver Pond Springs,,Surface Water
UT_224,,,Fresh,Snyder Spring,,Surface Water
UT_225,,,Fresh,Cave Spring,,Surface Water
UT_226,,,Fresh,Squaw Spring,,Surface Water
